cdli_id,factgrid_qid,artifact_label,write_action,claims_written,claims_skipped,write_status,write_error,label_collision_qid
212594,Q2162169,"Cuneiform Artifact BA 60/2, p. 81, q6",create,11,1,written,,
549257,Q2162170,Cuneiform Artifact CDLI Seals 026499 (physical),create,7,1,written,,
136564,Q2052295,"Cuneiform Tablet UET 3, 0247",update,4,8,written,,
370930,Q2162171,"Cuneiform Artifact AOAT 440, 197-198 BM 97939",create,11,1,written,,
391476,Q2162172,"Cuneiform Tablet AJSL 27, 197",create,9,1,written,,
327042,Q2162173,"Cuneiform Tablet CUSAS 30, 043",create,8,1,written,,
222122,Q2060083,Cuneiform Tablet FTP 047,update,4,8,written,,
582353,Q2162174,Cuneiform Tablet BM 062202,create,10,1,written,,
562107,Q2162175,Cuneiform Tablet BM 032717,create,10,1,written,,
274742,Q2162176,"Cuneiform Artifact BRM 3, 021d",create,8,1,written,,
431607,Q2162177,"Cuneiform Artifact RIME 4.02.07.01, ex. 02",create,10,1,written,,
294516,Q2162178,"Cuneiform Tablet GCCI 2, 400",create,10,1,written,,
529856,Q2162179,"Cuneiform Tablet PIHANS 117, 054",create,11,1,written,,
269873,Q2162180,"Cuneiform Artifact RIME 4.02.13.09, ex. 24",create,11,1,written,,
273087,Q2162181,"Cuneiform Tablet ARM 03, 040",create,11,1,written,,
209272,Q2162182,"Cuneiform Tablet Nisaba 09, 041",create,11,1,written,,
101617,Q1986772,"Cuneiform Tablet AnOr 07, 322",update,4,8,written,,
388207,Q1937093,"Cuneiform Tablet MSL 10, 004 S12",update,4,7,written,,
343303,Q2026283,"Cuneiform Tablet CDLI Literary 000379, ex. 033",update,4,8,written,,
4777,Q2162183,"Cuneiform Tablet BagM 22, 087, W 24007,6",create,10,1,written,,
428076,Q2162184,Cuneiform Artifact RIMI nn,create,10,1,written,,
585496,Q2162185,Cuneiform Tablet BM 065908,create,9,1,written,,
315563,Q2004275,"Cuneiform Tablet PPAC 5, 0033",update,4,8,written,,
210403,Q2162186,"Cuneiform Tablet BPOA 06, 0626",create,11,1,written,,
246263,Q2162187,Cuneiform Tablet P246263,create,10,1,written,,
506246,Q2162188,Cuneiform Tablet RBC 02868,create,6,1,written,,
550426,Q2162189,Cuneiform Tablet BM 104294,create,9,1,written,,
432882,Q2162190,"Cuneiform Tablet AuOr 15, 099-137 18",create,11,1,written,,
368053,Q2162191,"Cuneiform Tablet CT 57, 0914",create,11,1,written,,
403326,Q2162192,Cuneiform Tablet K 18062,create,10,1,written,,
566847,Q2162193,Cuneiform Tablet BM 040796,create,9,1,written,,
452283,Q2162194,Cuneiform Tablet OIM A00911,create,9,1,written,,
499387,Q2162195,Cuneiform Artifact CDLI Seals 005280 (composite),create,10,0,written,,
455546,Q2162196,Cuneiform Artifact CDLI Seals 002836 (composite),create,10,0,written,,
133336,Q2162197,"Cuneiform Tablet TCTI 2, 04169",create,11,1,written,,
118066,Q1963694,"Cuneiform Tablet MVN 14, 0386",update,4,8,written,,
226862,Q2162198,"Cuneiform Artifact RIME 3/2.01.03.01, ex. 35",create,11,1,written,,
222088,Q2060018,Cuneiform Tablet FTP 014,update,4,6,written,,
323902,Q2162199,Cuneiform Tablet CUNES 49-13-083,create,10,1,written,,
501583,Q2162200,"Cuneiform Tablet TCTI 3, 05500",create,11,1,written,,
102892,Q1990873,"Cuneiform Tablet AUCT 1, 046",update,4,7,written,,
371788,Q2162201,"Cuneiform Tablet VS 05, 054",create,8,1,written,,
578859,Q2162202,Cuneiform Tablet BM 054302,create,9,1,written,,
449565,Q2162203,Cuneiform Tablet CUNES 49-06-012,create,8,1,written,,
322610,Q2043082,"Cuneiform Tablet CUSAS 03, 0418",update,4,7,written,,
106078,Q1999688,"Cuneiform Tablet BIN 03, 272",update,4,8,written,,
374070,Q2162204,"Cuneiform Tablet OIP 043, 169 TA 1930 T396",create,11,1,written,,
587501,Q2162205,Cuneiform Tablet BM 068328,create,9,1,written,,
3118,Q2162206,"Cuneiform Tablet ATU 7, pl. 014, W 19408,76+",create,8,1,written,,
103780,Q1992665,"Cuneiform Tablet AUCT 1, 935",update,4,7,written,,
227770,Q2003165,"Cuneiform Tablet PBS 11/1, 003",update,4,8,written,,
434055,Q2162207,Cuneiform Tablet HT 053,create,10,1,written,,
291344,Q1974008,Cuneiform Tablet NBC 01791,update,4,8,written,,
309540,Q2162208,Cuneiform Tablet YBC 08707,create,10,1,written,,
462635,Q2162209,Cuneiform Tablet CST 430,create,10,1,written,,
436068,Q2162210,"Cuneiform Tablet KBo 18, 081",create,10,1,written,,
271110,Q2162211,Cuneiform Tablet EA 133,create,9,1,written,,
567755,Q2162212,Cuneiform Tablet BM 040383,create,9,1,written,,
531135,Q1995971,"Cuneiform Tablet BATSH 18, 20",update,5,7,written,,
460608,Q2162213,Cuneiform Tablet FLP 2217,create,9,1,written,,
293379,Q1370192,"Cuneiform Tablet BIN 04, 035",update,6,6,written,,
396219,Q2162214,Cuneiform Tablet K 05867,create,10,1,written,,
296481,Q2162215,"Cuneiform Tablet BRM 1, 004",create,9,1,written,,
560090,Q2162216,Cuneiform Tablet BM 015423,create,10,1,written,,
533108,Q2162217,Cuneiform Tablet Fort. 1677-103,create,9,0,written,,
433790,Q2162218,Cuneiform Tablet FHL 119,create,10,1,written,,
546008,Q2162219,Cuneiform Artifact CDLI Seals 023679 (physical),create,8,1,written,,
104045,Q1993192,"Cuneiform Tablet AUCT 2, 227",update,4,7,written,,
443168,Q2162220,"Cuneiform Tablet KBo 54, 056",create,10,1,written,,
1125,Q2162221,"Cuneiform Tablet ATU 5, pl. 045, W 9169,ax",create,10,1,written,,
510668,Q1892978,"Cuneiform Tablet AbB 12, 145",update,3,8,written,,
138829,Q2057595,"Cuneiform Tablet UET 9, 0699",update,4,8,written,,
468238,Q2162222,Cuneiform Tablet Meteors and Meteorites in the Ancient Near East p. 125,create,7,0,written,,
565768,Q2162223,"Cuneiform Artifact AJA 94 (1990) p. 568-579, L85-124",create,10,0,written,,
415708,Q2162224,"Cuneiform Tablet UET 5, 0838",create,10,1,written,,
446690,Q2162225,"Cuneiform Tablet KUB 48, 057",create,10,1,written,,
492898,Q2162226,Cuneiform Tablet P492898,create,9,1,written,,
228485,Q1971262,Cuneiform Tablet N 5539,update,4,7,written,,
127725,Q2011570,"Cuneiform Tablet RA 019, 044 MIO 8738",update,4,8,written,,
515190,Q2051949,"Cuneiform Tablet CUSAS 40, 0406",update,4,7,written,,
257188,Q2162227,Cuneiform Tablet UM 29-16-773,create,11,1,written,,
381925,Q2162228,"Cuneiform Tablet Nisaba 12/2, 20",create,10,1,written,,
304688,Q2162229,Cuneiform Tablet YBC 03197,create,11,1,written,,
383918,Q2162230,"Cuneiform Tablet OIP 092, 1232",create,10,1,written,,
9515,Q2162231,"Cuneiform Tablet Fouilles de Sialk I, pl. 93, Sialk 1625",create,9,1,written,,
408839,Q2162232,"Cuneiform Tablet HSS 14, 573",create,10,1,written,,
125718,Q2162233,"Cuneiform Tablet PDT 1, 0302",create,11,1,written,,
441155,Q2162234,"Cuneiform Tablet KBo 45, 129  + (?) KBo 49, 122",create,10,1,written,,
279520,Q2162235,Cuneiform Tablet N 4840,create,9,1,written,,
512655,Q894796,"Cuneiform Tablet TMH 10, 126",update,5,7,written,,
544035,Q2162236,Cuneiform Tablet LB 2598/2 (unpublished),create,9,1,written,,
417735,Q1997033,"Cuneiform Tablet BATSH 9, 024",update,5,7,written,,
357710,Q1371075,"Cuneiform Tablet TCL 20, 144",update,5,7,written,,
539505,Q2162237,Cuneiform Artifact CDLI Seals 018625 (physical),create,6,1,written,,
252670,Q2162238,"Cuneiform Tablet CUSAS 36, 075",create,9,1,written,,
253962,Q2162239,Cuneiform Tablet MS 4931,create,7,1,written,,
110456,Q2162240,"Cuneiform Tablet HUCA 29, 100 22",create,10,1,written,,
298866,Q2162241,Cuneiform Tablet NBC 07274,create,10,2,written,,
416827,Q2162242,Cuneiform Tablet CUA 010,create,8,1,written,,
301170,Q2162243,Cuneiform Tablet NBC 10137,create,10,1,written,,
356802,Q2025690,"Cuneiform Tablet CDLI Literary 000368, ex. 032",update,4,8,written,,
249196,Q1971328,"Cuneiform Tablet AAICAB 1/3, pl. 244, Bod S 291",update,4,8,written,,
285757,Q2162244,"Cuneiform Artifact CT 45, 071",create,11,1,written,,
574483,Q2162245,Cuneiform Tablet BM 055117,create,7,1,written,,
420446,Q2162246,Cuneiform Tablet SMUI 1913.14.0066,create,8,1,written,,
282092,Q1928402,Cuneiform Tablet KAJ 078,update,4,6,written,,
513947,Q2162247,"Cuneiform Tablet Shemshara 1, 060",create,11,1,written,,
476226,Q2162248,Cuneiform Artifact CDLI Seals 009485 (physical),create,8,1,written,,
573346,Q2162249,Cuneiform Tablet NBDSPC no. 10,create,11,1,written,,
380637,Q2007593,"Cuneiform Tablet PPAC 5, 1747",update,4,8,written,,
496072,Q2162250,"Cuneiform Tablet MDP 09, 071",create,11,1,written,,
126837,Q2008176,"Cuneiform Tablet Princeton 1, 148",update,4,8,written,,
593112,Q2162251,Cuneiform Tablet BM 076120,create,9,1,written,,
233363,Q2162252,"Cuneiform Artifact RIME 3/1.01.07.037, ex. 0612",create,11,1,written,,
525526,Q2162253,"Cuneiform Tablet Haradum 2, 103",create,11,1,written,,
265503,Q2162254,Cuneiform Artifact CBS 10268,create,8,1,written,,
447982,Q2162255,"Cuneiform Artifact RIME 4.03.07.x1002, ex. 01",create,11,1,written,,
336203,Q2065943,"Cuneiform Tablet Iraq 32, 151 17",update,4,8,written,,
360463,Q1360600,"Cuneiform Tablet AKT 1, 04",update,5,6,written,,
387408,Q2162256,"Cuneiform Tablet TCL 18, 112",create,10,1,written,,
558016,Q2162257,Cuneiform Tablet BM 042742,create,8,1,written,,
522719,Q1929143,"Cuneiform Tablet KAM 11, 060",update,5,5,written,,
509449,Q2162258,"Cuneiform Tablet MHET 1/1, 073",create,11,1,written,,
471019,Q2162259,Cuneiform Tablet PTS 2927,create,10,1,written,,
117393,Q2162260,"Cuneiform Tablet MVN 13, 620",create,9,1,written,,
574179,Q2162261,"Cuneiform Tablet OBO 260, no. 404",create,11,1,written,,
282568,Q2162262,Cuneiform Tablet Stelen 129,create,7,1,written,,
422181,Q2162263,Cuneiform Tablet BM 099213,create,7,1,written,,
427679,Q1972051,Cuneiform Tablet NABU 2018/041 2,update,4,7,written,,
378950,Q2006326,"Cuneiform Tablet PPAC 5, 1111",update,4,8,written,,
438975,Q2162264,"Cuneiform Tablet KBo 35, 198 + (?) KBo 35, 212 + (?) KBo 15, 043 + (?) KBo 44, 098 + (?) KBo 23, 047",create,10,1,written,,
571681,Q2162265,Cuneiform Tablet BM 048716,create,8,1,written,,
603011,Q2162266,"Cuneiform Tablet Schaudig, Babil 5, no. 64 (N13: 7)",create,9,1,written,,
143034,Q1968321,"Cuneiform Tablet MVN 20, 101",update,4,8,written,,
496588,Q2162267,"Cuneiform Tablet BPO 3, 275, BM 040111",create,10,1,written,,
115654,Q1954011,"Cuneiform Tablet MVN 09, 011",update,4,8,written,,
10734,Q2049332,Cuneiform Tablet TSŠ 0078,update,4,8,written,,
360199,Q1369942,"Cuneiform Tablet KTS 2, 57",update,5,6,written,,
141009,Q2162268,"Cuneiform Tablet UTI 4, 2990",create,11,1,written,,
596310,Q2162269,Cuneiform Artifact BM 081952,create,10,1,written,,
233699,Q2162270,"Cuneiform Artifact RIME 3/1.01.07.037, ex. 0948",create,11,1,written,,
493270,Q2007822,Cuneiform Tablet PRAK C 097,update,3,5,written,,
365661,Q2162271,"Cuneiform Tablet CT 22, pl. 34, 184",create,11,1,written,,
112191,Q1926948,"Cuneiform Tablet JCS 38, 031 06",update,4,8,written,,
333001,Q2059126,"Cuneiform Tablet Fs Leichty 296, 35",update,3,7,written,,
236161,Q2002077,"Cuneiform Tablet BIN 09, 151",update,4,7,written,,
520724,Q2162272,Cuneiform Tablet KTU3 4.592,create,10,1,written,,
385435,Q2162273,"Cuneiform Tablet OECT 12, pl. 08, A 095",create,10,1,written,,
576144,Q2162274,Cuneiform Tablet BM 051023,create,9,1,written,,
260701,Q2162275,Cuneiform Tablet CBS 04384,create,7,1,written,,
425644,Q2162276,Cuneiform Tablet Sm 0879,create,9,1,written,,
458374,Q2162277,Cuneiform Artifact CDLI Seals 005664 (composite),create,10,0,written,,
108965,Q2055268,Cuneiform Tablet DAS 223,update,4,8,written,,
510392,Q2162278,Cuneiform Tablet BDHP 11,create,10,1,written,,
473024,Q2162279,Cuneiform Artifact CDLI Seals 006769 (physical),create,9,1,written,,
424956,Q2162280,"Cuneiform Tablet Rm 2, 133",create,9,1,written,,
109677,Q2062460,Cuneiform Tablet Hirose 206,update,4,7,written,,
443492,Q2162281,"Cuneiform Tablet KBo 57, 083",create,10,1,written,,
280555,Q2162282,Cuneiform Tablet N 6805,create,8,1,written,,
261813,Q2162283,Cuneiform Tablet CBS 05620,create,7,1,written,,
364973,Q2162284,Cuneiform Tablet LBAT 0863,create,10,1,written,,
122527,Q1993233,"Cuneiform Tablet NRVN 1, 309",update,4,8,written,,
