review_decision,review_notes,old_cdli_id,canonical_factgrid_qid,canonical_factgrid_url,duplicate_factgrid_qid,duplicate_factgrid_url,canonical_label,duplicate_label_to_preserve,all_labels_seen,duplicate_group_qids,duplicate_count_for_cdli_id,reuse_pool_status,future_reuse_status,source_duplicate_audit,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3
,,P229884,Q894138,https://database.factgrid.de/wiki/Item:Q894138,Q2063642,https://database.factgrid.de/wiki/Item:Q2063642,Cuneiform Tablet HS 1678,Cuneiform Tablet HS 1678,Cuneiform Tablet HS 1678,Q2063642,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229885,Q894072,https://database.factgrid.de/wiki/Item:Q894072,Q2063643,https://database.factgrid.de/wiki/Item:Q2063643,Cuneiform Tablet HS 1679,Cuneiform Tablet HS 1679,Cuneiform Tablet HS 1679,Q2063643,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229886,Q894501,https://database.factgrid.de/wiki/Item:Q894501,Q2063645,https://database.factgrid.de/wiki/Item:Q2063645,Cuneiform Tablet HS 1680,Cuneiform Tablet HS 1680,Cuneiform Tablet HS 1680,Q2063645,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229887,Q894050,https://database.factgrid.de/wiki/Item:Q894050,Q2063647,https://database.factgrid.de/wiki/Item:Q2063647,Cuneiform Tablet HS 1681,Cuneiform Tablet HS 1681,Cuneiform Tablet HS 1681,Q2063647,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229888,Q894116,https://database.factgrid.de/wiki/Item:Q894116,Q2063649,https://database.factgrid.de/wiki/Item:Q2063649,Cuneiform Tablet HS 1683,Cuneiform Tablet HS 1683,Cuneiform Tablet HS 1683,Q2063649,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229889,Q893931,https://database.factgrid.de/wiki/Item:Q893931,Q2063651,https://database.factgrid.de/wiki/Item:Q2063651,Cuneiform Tablet HS 1685,Cuneiform Tablet HS 1685,Cuneiform Tablet HS 1685,Q2063651,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229890,Q894480,https://database.factgrid.de/wiki/Item:Q894480,Q1931975,https://database.factgrid.de/wiki/Item:Q1931975,Cuneiform Tablet HS 1686,Cuneiform Tablet HS 1686,Cuneiform Tablet HS 1686 | Cuneiform Prism HS 1686,Q1931975,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229891,Q893876,https://database.factgrid.de/wiki/Item:Q893876,Q2063653,https://database.factgrid.de/wiki/Item:Q2063653,Cuneiform Tablet HS 1687,Cuneiform Tablet HS 1687,Cuneiform Tablet HS 1687,Q2063653,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229892,Q894588,https://database.factgrid.de/wiki/Item:Q894588,Q2063655,https://database.factgrid.de/wiki/Item:Q2063655,Cuneiform Tablet HS 1688,Cuneiform Tablet HS 1688,Cuneiform Tablet HS 1688,Q2063655,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229893,Q894375,https://database.factgrid.de/wiki/Item:Q894375,Q2063657,https://database.factgrid.de/wiki/Item:Q2063657,Cuneiform Tablet HS 1689,Cuneiform Tablet HS 1689,Cuneiform Tablet HS 1689,Q2063657,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229894,Q894365,https://database.factgrid.de/wiki/Item:Q894365,Q2063659,https://database.factgrid.de/wiki/Item:Q2063659,Cuneiform Tablet HS 1690,Cuneiform Tablet HS 1690,Cuneiform Tablet HS 1690,Q2063659,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229896,Q894690,https://database.factgrid.de/wiki/Item:Q894690,Q2063663,https://database.factgrid.de/wiki/Item:Q2063663,Cuneiform Tablet HS 1692,Cuneiform Tablet HS 1692,Cuneiform Tablet HS 1692,Q2063663,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229897,Q893895,https://database.factgrid.de/wiki/Item:Q893895,Q1932804,https://database.factgrid.de/wiki/Item:Q1932804,Cuneiform Tablet HS 1696,Cuneiform Tablet HS 1696,Cuneiform Tablet HS 1696 | Cuneiform Lentil HS 1696,Q1932804,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229898,Q893942,https://database.factgrid.de/wiki/Item:Q893942,Q2063666,https://database.factgrid.de/wiki/Item:Q2063666,Cuneiform Tablet HS 1698,Cuneiform Tablet HS 1698,Cuneiform Tablet HS 1698,Q2063666,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229899,Q894915,https://database.factgrid.de/wiki/Item:Q894915,Q2057722,https://database.factgrid.de/wiki/Item:Q2057722,Cuneiform Tablet HS 1699,Cuneiform Tablet HS 1699,"Cuneiform Tablet HS 1699 | Cuneiform Tablet EEN 313, HS 1699",Q2057722,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
,,P229900,Q894543,https://database.factgrid.de/wiki/Item:Q894543,Q2063668,https://database.factgrid.de/wiki/Item:Q2063668,Cuneiform Tablet HS 1700,Cuneiform Tablet HS 1700,Cuneiform Tablet HS 1700,Q2063668,1,hold_until_canonical_repair,,live_factgrid_register_p692,canonical_factgrid_qid has been checked for complete CDLI claims,old duplicate identity is preserved in this CSV before the item is repurposed,manual approval or future_reuse_status=approved before clear=True rewrite
