reuse_pool_status,reuse_candidate_class,qid_available_for_future_entity,canonical_factgrid_qid,old_cdli_id,old_duplicate_label_to_preserve,canonical_label,old_aliases_to_preserve,reuse_precondition_1,reuse_precondition_2,reuse_precondition_3,future_entity_type,future_entity_label,future_reuse_status,source_duplicate_audit,human_review_decision,human_review_notes
candidate,duplicate_p692_cdli_artifact,Q2047012,Q894655,P020431,Cuneiform Tablet HS 767,Cuneiform Tablet HS 767,"Cuneiform Tablet HS 767 | Cuneiform Tablet TMH 05, 017",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047014,Q894628,P020432,Cuneiform Tablet HS 768,Cuneiform Tablet HS 768,"Cuneiform Tablet HS 768 | Cuneiform Tablet TMH 05, 018",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047016,Q894210,P020433,Cuneiform Tablet HS 769,Cuneiform Tablet HS 769,"Cuneiform Tablet HS 769 | Cuneiform Tablet TMH 05, 019",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047018,Q894145,P020434,Cuneiform Tablet HS 770,Cuneiform Tablet HS 770,"Cuneiform Tablet HS 770 | Cuneiform Tablet TMH 05, 020",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047028,Q893864,P020439,Cuneiform Tablet HS 775,Cuneiform Tablet HS 775,"Cuneiform Tablet HS 775 | Cuneiform Tablet TMH 05, 025",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047030,Q894423,P020440,Cuneiform Tablet HS 776,Cuneiform Tablet HS 776,"Cuneiform Tablet HS 776 | Cuneiform Tablet TMH 05, 026",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047032,Q894342,P020441,Cuneiform Tablet HS 777,Cuneiform Tablet HS 777,"Cuneiform Tablet HS 777 | Cuneiform Tablet TMH 05, 027",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047038,Q894199,P020445,Cuneiform Tablet HS 781,Cuneiform Tablet HS 781,"Cuneiform Tablet HS 781 | Cuneiform Tablet TMH 05, 031",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047040,Q893885,P020446,Cuneiform Tablet HS 782,Cuneiform Tablet HS 782,"Cuneiform Tablet HS 782 | Cuneiform Tablet TMH 05, 032",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
candidate,duplicate_p692_cdli_artifact,Q2047042,Q894321,P020447,Cuneiform Tablet HS 783,Cuneiform Tablet HS 783,"Cuneiform Tablet HS 783 | Cuneiform Tablet TMH 05, 033",canonical_factgrid_qid reviewed as duplicate canonical to retain,old duplicate identity is preserved in this CSV before the item is repurposed,approved for clear=True rewrite after human duplicate review,,,approved,live_factgrid_register_p692,,
