Clay_tablet,Clay_tabletLabel,CDLI_ID
https://database.factgrid.de/entity/Q892742,Cuneiform Tablet KHT 363,P531753
https://database.factgrid.de/entity/Q892743,Cuneiform Tablet KHT 364,P531754
https://database.factgrid.de/entity/Q892744,Cuneiform Tablet KHT 365,P531755
https://database.factgrid.de/entity/Q892745,Cuneiform Tablet KHT 366,P531756
https://database.factgrid.de/entity/Q892746,Cuneiform Tablet KHT 367,P531757
https://database.factgrid.de/entity/Q892747,Cuneiform Tablet KHT 369,P531758
https://database.factgrid.de/entity/Q892748,Cuneiform Tablet KHT 370,P531759
https://database.factgrid.de/entity/Q892749,Cuneiform Tablet KHT 371,P531760
https://database.factgrid.de/entity/Q892750,Cuneiform Tablet KHT 372,P531761
https://database.factgrid.de/entity/Q892751,Cuneiform Tablet KHT 373,P531762
https://database.factgrid.de/entity/Q892752,Cuneiform Tablet KHT 374,P531763
https://database.factgrid.de/entity/Q892753,Cuneiform Tablet KHT 375,P531764
https://database.factgrid.de/entity/Q892754,Cuneiform Tablet KHT 377,P531765
https://database.factgrid.de/entity/Q892755,Cuneiform Tablet KHT 378,P531766
https://database.factgrid.de/entity/Q892756,Cuneiform Tablet KHT 379,P531767
https://database.factgrid.de/entity/Q892757,Cuneiform Tablet KHT 380,P531768
https://database.factgrid.de/entity/Q892758,Cuneiform Tablet KHT 381,P531769
https://database.factgrid.de/entity/Q892759,Cuneiform Tablet KHT 382,P531770
https://database.factgrid.de/entity/Q892760,Cuneiform Tablet KHT 383,P531771
https://database.factgrid.de/entity/Q892761,Cuneiform Tablet KHT 384,P531772
https://database.factgrid.de/entity/Q892762,Cuneiform Tablet KHT 386,P531774
https://database.factgrid.de/entity/Q892763,Cuneiform Tablet KHT 387,P531775
https://database.factgrid.de/entity/Q892764,Cuneiform Tablet KHT 388,P531776
https://database.factgrid.de/entity/Q892766,Cuneiform Tablet KHT 389,P531777
https://database.factgrid.de/entity/Q892767,Cuneiform Tablet KHT 390,P532116
https://database.factgrid.de/entity/Q892775,Cuneiform Tablet KHT 391,P531778
https://database.factgrid.de/entity/Q892776,Cuneiform Tablet KHT 392,P531779
https://database.factgrid.de/entity/Q892777,Cuneiform Tablet KHT 393,P532117
https://database.factgrid.de/entity/Q892781,Cuneiform Tablet KHT 396,P531780
https://database.factgrid.de/entity/Q892783,Cuneiform Tablet KHT 397,P532119
https://database.factgrid.de/entity/Q892788,Cuneiform Tablet KHT 212,P531782
https://database.factgrid.de/entity/Q892789,Cuneiform Tablet KHT 213,P531783
https://database.factgrid.de/entity/Q892791,Cuneiform Tablet KHT 215,P531785
https://database.factgrid.de/entity/Q892792,Cuneiform Tablet KHT 216,P531786
https://database.factgrid.de/entity/Q892793,Cuneiform Tablet KHT 217,P531787
https://database.factgrid.de/entity/Q892794,Cuneiform Tablet KHT 218,P531788
https://database.factgrid.de/entity/Q892795,Cuneiform Tablet KHT 219,P531789
https://database.factgrid.de/entity/Q892797,Cuneiform Tablet KHT 220,P531790
https://database.factgrid.de/entity/Q892798,Cuneiform Tablet KHT 221,P531791
https://database.factgrid.de/entity/Q892799,Cuneiform Tablet KHT 222,P531792
https://database.factgrid.de/entity/Q892800,Cuneiform Tablet KHT 223,P531793
https://database.factgrid.de/entity/Q892801,Cuneiform Tablet KHT 224,P531794
https://database.factgrid.de/entity/Q892802,Cuneiform Tablet KHT 225,P531795
https://database.factgrid.de/entity/Q892803,Cuneiform Tablet KHT 226,P531796
https://database.factgrid.de/entity/Q892804,Cuneiform Tablet KHT 227,P531797
https://database.factgrid.de/entity/Q892806,Cuneiform Tablet KHT 229,P531799
https://database.factgrid.de/entity/Q892807,Cuneiform Tablet KHT 230,P531800
https://database.factgrid.de/entity/Q892808,Cuneiform Tablet KHT 231,P531801
https://database.factgrid.de/entity/Q892809,Cuneiform Tablet KHT 232,P531802
https://database.factgrid.de/entity/Q892810,Cuneiform Tablet KHT 233,P531803
https://database.factgrid.de/entity/Q892811,Cuneiform Tablet KHT 234,P531804
https://database.factgrid.de/entity/Q892812,Cuneiform Tablet KHT 235,P531805
https://database.factgrid.de/entity/Q892814,Cuneiform Tablet KHT 236,P531806
https://database.factgrid.de/entity/Q892815,Cuneiform Tablet KHT 237,P531807
https://database.factgrid.de/entity/Q892816,Cuneiform Tablet KHT 238,P531808
https://database.factgrid.de/entity/Q892817,Cuneiform Tablet KHT 239,P531809
https://database.factgrid.de/entity/Q892818,Cuneiform Tablet KHT 240,P531810
https://database.factgrid.de/entity/Q892819,Cuneiform Tablet KHT 241,P531811
https://database.factgrid.de/entity/Q892820,Cuneiform Tablet KHT 243,P531813
https://database.factgrid.de/entity/Q892821,Cuneiform Tablet KHT 244,P531814
https://database.factgrid.de/entity/Q892822,Cuneiform Tablet KHT 245,P531815
https://database.factgrid.de/entity/Q892823,Cuneiform Tablet KHT 246,P531816
https://database.factgrid.de/entity/Q892824,Cuneiform Tablet KHT 249,P531819
https://database.factgrid.de/entity/Q892825,Cuneiform Tablet KHT 250,P531820
https://database.factgrid.de/entity/Q892826,Cuneiform Tablet KHT 251,P531821
https://database.factgrid.de/entity/Q892827,Cuneiform Tablet KHT 252,P531822
https://database.factgrid.de/entity/Q892828,Cuneiform Tablet KHT 253,P531823
https://database.factgrid.de/entity/Q892830,Cuneiform Tablet KHT 255,P531825
https://database.factgrid.de/entity/Q892831,Cuneiform Tablet KHT 256,P531826
https://database.factgrid.de/entity/Q892832,Cuneiform Tablet KHT 257,P531827
https://database.factgrid.de/entity/Q892833,Cuneiform Tablet KHT 258,P531828
https://database.factgrid.de/entity/Q892834,Cuneiform Tablet KHT 260,P531830
https://database.factgrid.de/entity/Q892835,Cuneiform Tablet KHT 262,P531832
https://database.factgrid.de/entity/Q892836,Cuneiform Tablet KHT 263,P531833
https://database.factgrid.de/entity/Q892837,Cuneiform Tablet KHT 264,P531834
https://database.factgrid.de/entity/Q892838,Cuneiform Tablet KHT 265,P531835
https://database.factgrid.de/entity/Q892839,Cuneiform Tablet KHT 266,P531836
https://database.factgrid.de/entity/Q892840,Cuneiform Tablet KHT 267,P531837
https://database.factgrid.de/entity/Q892841,Cuneiform Tablet KHT 268,P531838
https://database.factgrid.de/entity/Q892842,Cuneiform Tablet KHT 269,P531839
https://database.factgrid.de/entity/Q892843,Cuneiform Tablet KHT 270,P531840
https://database.factgrid.de/entity/Q892844,Cuneiform Tablet KHT 271,P531841
https://database.factgrid.de/entity/Q892845,Cuneiform Tablet KHT 272,P531842
https://database.factgrid.de/entity/Q892846,Cuneiform Tablet KHT 273,P531843
https://database.factgrid.de/entity/Q892847,Cuneiform Tablet KHT 274,P531844
https://database.factgrid.de/entity/Q892848,Cuneiform Tablet KHT 275,P531845
https://database.factgrid.de/entity/Q892849,Cuneiform Tablet KHT 276,P531846
https://database.factgrid.de/entity/Q892850,Cuneiform Tablet KHT 413,P531847
https://database.factgrid.de/entity/Q892851,Cuneiform Tablet KHT 414,P531848
https://database.factgrid.de/entity/Q892852,Cuneiform Tablet KHT 415,P531849
https://database.factgrid.de/entity/Q892853,Cuneiform Tablet KHT 416,P531850
https://database.factgrid.de/entity/Q892854,Cuneiform Tablet KHT 417,P531851
https://database.factgrid.de/entity/Q892855,Cuneiform Tablet KHT 418,P531852
https://database.factgrid.de/entity/Q892856,Cuneiform Tablet KHT 419,P531853
https://database.factgrid.de/entity/Q892882,Cuneiform Tablet KHT 420,P531854
https://database.factgrid.de/entity/Q892900,Cuneiform Tablet KHT 422,P531856
https://database.factgrid.de/entity/Q892901,Cuneiform Tablet KHT 423,P531857
https://database.factgrid.de/entity/Q892902,Cuneiform Tablet KHT 424,P531858
https://database.factgrid.de/entity/Q892903,Cuneiform Tablet KHT 425,P531859
https://database.factgrid.de/entity/Q892904,Cuneiform Tablet KHT 426,P531860
https://database.factgrid.de/entity/Q892905,Cuneiform Tablet KHT 427,P531861
https://database.factgrid.de/entity/Q892906,Cuneiform Tablet KHT 428,P531862
https://database.factgrid.de/entity/Q892907,Cuneiform Tablet KHT 429,P531863
https://database.factgrid.de/entity/Q892908,Cuneiform Tablet KHT 430,P531864
https://database.factgrid.de/entity/Q892909,Cuneiform Tablet KHT 431,P531865
https://database.factgrid.de/entity/Q892910,Cuneiform Tablet KHT 432,P531866
https://database.factgrid.de/entity/Q892911,Cuneiform Tablet KHT 433,P531867
https://database.factgrid.de/entity/Q892913,Cuneiform Tablet KHT 434,P532121
https://database.factgrid.de/entity/Q892918,Cuneiform Tablet KHT 436,P532122
https://database.factgrid.de/entity/Q892920,Cuneiform Tablet KHT 437,P532123
https://database.factgrid.de/entity/Q892924,Cuneiform Tablet KHT 438,P532124
https://database.factgrid.de/entity/Q892927,Cuneiform Tablet KHT 442,P531869
https://database.factgrid.de/entity/Q892928,Cuneiform Tablet KHT 398,P531870
https://database.factgrid.de/entity/Q892929,Cuneiform Tablet KHT 444,P531872
https://database.factgrid.de/entity/Q892930,Cuneiform Tablet KHT 401,P531874
https://database.factgrid.de/entity/Q892931,Cuneiform Tablet KHT 402,P531875
https://database.factgrid.de/entity/Q892932,Cuneiform Tablet KHT 404,P531877
https://database.factgrid.de/entity/Q892933,Cuneiform Tablet KHT 405,P531878
https://database.factgrid.de/entity/Q892934,Cuneiform Tablet KHT 406,P531879
https://database.factgrid.de/entity/Q892935,Cuneiform Tablet KHT 446,P531881
https://database.factgrid.de/entity/Q892936,Cuneiform Tablet KHT 407,P531882
https://database.factgrid.de/entity/Q892937,Cuneiform Tablet KHT 408,P531883
