match_key_type,match_key,factgrid_qid,factgrid_label,source
cdli_id,P557642,Q2142758,"Cuneiform Tablet JCS 26, 81-83",factgrid_live_existing_artifact_register
cdli_id,339457,Q2142759,"Cuneiform Tablet BPOA 01, 0801",factgrid_live_existing_artifact_register
cdli_id,P339457,Q2142759,"Cuneiform Tablet BPOA 01, 0801",factgrid_live_existing_artifact_register
cdli_id,P282533,Q2142760,Cuneiform Tablet Stelen 49,factgrid_live_existing_artifact_register
cdli_id,282533,Q2142760,Cuneiform Tablet Stelen 49,factgrid_live_existing_artifact_register
cdli_id,522742,Q1929185,"Cuneiform Tablet KAM 11, 083",factgrid_live_existing_artifact_register
cdli_id,P522742,Q1929185,"Cuneiform Tablet KAM 11, 083",factgrid_live_existing_artifact_register
cdli_id,574122,Q2142761,"Cuneiform Tablet OBO 260, no. 327",factgrid_live_existing_artifact_register
cdli_id,P574122,Q2142761,"Cuneiform Tablet OBO 260, no. 327",factgrid_live_existing_artifact_register
cdli_id,427622,Q2048633,"Cuneiform Tablet CUSAS 26, 107",factgrid_live_existing_artifact_register
cdli_id,P427622,Q2048633,"Cuneiform Tablet CUSAS 26, 107",factgrid_live_existing_artifact_register
cdli_id,594376,Q2142762,Cuneiform Tablet BM 078471,factgrid_live_existing_artifact_register
cdli_id,P594376,Q2142762,Cuneiform Tablet BM 078471,factgrid_live_existing_artifact_register
cdli_id,P471042,Q2142763,Cuneiform Tablet PTS 2950,factgrid_live_existing_artifact_register
cdli_id,471042,Q2142763,Cuneiform Tablet PTS 2950,factgrid_live_existing_artifact_register
cdli_id,331067,Q1982465,"Cuneiform Tablet Nisaba 05/1, 004",factgrid_live_existing_artifact_register
cdli_id,P331067,Q1982465,"Cuneiform Tablet Nisaba 05/1, 004",factgrid_live_existing_artifact_register
cdli_id,P249437,Q2142764,"Cuneiform Tablet AUCT 5, 131",factgrid_live_existing_artifact_register
cdli_id,249437,Q2142764,"Cuneiform Tablet AUCT 5, 131",factgrid_live_existing_artifact_register
cdli_id,P509412,Q2142765,"Cuneiform Tablet MHET 1/1, 035",factgrid_live_existing_artifact_register
cdli_id,509412,Q2142765,"Cuneiform Tablet MHET 1/1, 035",factgrid_live_existing_artifact_register
cdli_id,P262767,Q2142766,Cuneiform Tablet CBS 07754,factgrid_live_existing_artifact_register
cdli_id,262767,Q2142766,Cuneiform Tablet CBS 07754,factgrid_live_existing_artifact_register
cdli_id,367607,Q2142767,"Cuneiform Tablet CT 57, 0465",factgrid_live_existing_artifact_register
cdli_id,P367607,Q2142767,"Cuneiform Tablet CT 57, 0465",factgrid_live_existing_artifact_register
cdli_id,141052,Q2142769,"Cuneiform Tablet UTI 5, 3033",factgrid_live_existing_artifact_register
cdli_id,P141052,Q2142769,"Cuneiform Tablet UTI 5, 3033",factgrid_live_existing_artifact_register
cdli_id,P601077,Q2142770,Cuneiform Tablet BM 101122,factgrid_live_existing_artifact_register
cdli_id,601077,Q2142770,Cuneiform Tablet BM 101122,factgrid_live_existing_artifact_register
cdli_id,P446331,Q2142771,"Cuneiform Tablet KUB 43, 065",factgrid_live_existing_artifact_register
cdli_id,446331,Q2142771,"Cuneiform Tablet KUB 43, 065",factgrid_live_existing_artifact_register
cdli_id,380396,Q2142773,Cuneiform Tablet BM 096115,factgrid_live_existing_artifact_register
cdli_id,P380396,Q2142773,Cuneiform Tablet BM 096115,factgrid_live_existing_artifact_register
cdli_id,P117632,Q1961334,"Cuneiform Tablet MVN 13, 860",factgrid_live_existing_artifact_register
cdli_id,117632,Q1961334,"Cuneiform Tablet MVN 13, 860",factgrid_live_existing_artifact_register
cdli_id,P410551,Q2142775,Cuneiform Tablet CUNES 49-03-278,factgrid_live_existing_artifact_register
cdli_id,410551,Q2142775,Cuneiform Tablet CUNES 49-03-278,factgrid_live_existing_artifact_register
cdli_id,P588355,Q2142776,Cuneiform Tablet BM 069140,factgrid_live_existing_artifact_register
cdli_id,588355,Q2142776,Cuneiform Tablet BM 069140,factgrid_live_existing_artifact_register
cdli_id,P515431,Q2052408,"Cuneiform Tablet CUSAS 40, 0647",factgrid_live_existing_artifact_register
cdli_id,515431,Q2052408,"Cuneiform Tablet CUSAS 40, 0647",factgrid_live_existing_artifact_register
cdli_id,P255414,Q2030183,"Cuneiform Tablet CDLI Literary 000761, ex. 044",factgrid_live_existing_artifact_register
cdli_id,255414,Q2030183,"Cuneiform Tablet CDLI Literary 000761, ex. 044",factgrid_live_existing_artifact_register
cdli_id,350574,Q2142779,"Cuneiform Tablet ARM 12, 131",factgrid_live_existing_artifact_register
cdli_id,P350574,Q2142779,"Cuneiform Tablet ARM 12, 131",factgrid_live_existing_artifact_register
cdli_id,306314,Q2142780,"Cuneiform Tablet JCS 04, 094, 110 YBC 05223",factgrid_live_existing_artifact_register
cdli_id,P306314,Q2142780,"Cuneiform Tablet JCS 04, 094, 110 YBC 05223",factgrid_live_existing_artifact_register
cdli_id,P203274,Q2142781,Cuneiform Tablet BM 027153,factgrid_live_existing_artifact_register
cdli_id,203274,Q2142781,Cuneiform Tablet BM 027153,factgrid_live_existing_artifact_register
cdli_id,116920,Q1958363,"Cuneiform Tablet MVN 13, 148",factgrid_live_existing_artifact_register
cdli_id,P116920,Q1958363,"Cuneiform Tablet MVN 13, 148",factgrid_live_existing_artifact_register
cdli_id,261848,Q2142782,Cuneiform Tablet CBS 05655,factgrid_live_existing_artifact_register
cdli_id,P261848,Q2142782,Cuneiform Tablet CBS 05655,factgrid_live_existing_artifact_register
cdli_id,468799,Q2142783,"Cuneiform Tablet Nisaba 34, 0558",factgrid_live_existing_artifact_register
cdli_id,P468799,Q2142783,"Cuneiform Tablet Nisaba 34, 0558",factgrid_live_existing_artifact_register
cdli_id,364928,Q2142784,Cuneiform Tablet LBAT 0812,factgrid_live_existing_artifact_register
cdli_id,P364928,Q2142784,Cuneiform Tablet LBAT 0812,factgrid_live_existing_artifact_register
cdli_id,568101,Q2142785,Cuneiform Tablet BM 042159,factgrid_live_existing_artifact_register
cdli_id,P568101,Q2142785,Cuneiform Tablet BM 042159,factgrid_live_existing_artifact_register
cdli_id,P263875,Q2142786,"Cuneiform Tablet BE 08/1, 045",factgrid_live_existing_artifact_register
