Aen (update),Aen2,FG-Q,P2_1,P2_2,P694
uncertain (mod. Chughā Pahn West),Chughā Pahn West,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/720
"uncertain (mod. Çorum, Turkey)","Çorum, Turkey",,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/187
Du-Enlila (mod. uncertain),Du-Enlila,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/378
Dūr-Abī-ēšuḫ (mod. uncertain),Dūr-Abī-ēšuḫ,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/82
Dur-Enlile (mod. uncertain),Dur-Enlile,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1013
Dusabar (mod. uncertain),Dusabar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/45
Ecbatana (mod. uncertain),Ecbatana,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/147
Egraineli (mod. El Geraineh),El Geraineh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1021
Elammu (mod. uncertain),Elammu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/258
Epurasie (mod. uncertain),Epurasie,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/80
uncertain (mod. Eskiharran),Eskiharran,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/738
Ešura (mod. uncertain),Ešura,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/379
uncertain (mod. Fāqūs),Fāqūs,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/747
Galgameš (mod. uncertain),Galgameš,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1006
GARIN-naḫallum (mod. uncertain),GARIN-naḫallum,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/41
uncertain (mod. Gird-i Gulak),Gird-i Gulak,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/754
Girigu (mod. uncertain),Girigu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/128
Gišši (mod. uncertain),Gišši,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/103
uncertain (mod. Goňur depe),Goňur depe,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/755
uncertain (mod. Gur-e Sefid),Gur-e Sefid,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1015
uncertain (mod. Habil Abu Ibrahim),Habil Abu Ibrahim,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/767
Ḫadiranu-ša-Nabu (mod. uncertain),Ḫadiranu-ša-Nabu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/274
uncertain (mod. Haikavank),Haikavank,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/770
Hamat (mod. uncertain),Hamat,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/383
Haṭru (mod. uncertain),Haṭru,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1009
Hazatu (mod. uncertain),Hazatu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/385
uncertain (mod. Himeri),Himeri,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/213
Himuru (mod. uncertain),Himuru,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/386
Daskyleion (mod. Hisartepe),Hisartepe,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/724
uncertain (mod. Hour Soleiman),Hour Soleiman,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/654
Hummanu (mod. uncertain),Hummanu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/225
Hurruba (mod. uncertain),Hurruba,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/175
uncertain (mod. Idfū),Idfū,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/736
uncertain (mod. İnandık),İnandık,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/789
uncertain (mod. Irákleio),Irákleio,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/718
uncertain (mod. Ishān Abū Kumbārah),Ishān Abū Kumbārah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/838
uncertain (mod. Ishān al-Khāzna),Ishān al-Khāzna,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/787
uncertain (mod. Ishān Khālifah),Ishān Khālifah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/788
uncertain (mod. Īzah),Īzah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/790
uncertain (mod. Kani Joni I),Kani Joni I,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/652
uncertain (mod. Kani Joni II),Kani Joni II,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/656
Kapri-ša-naqidati (mod. uncertain),Kapri-ša-naqidati,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/182
Kapru (mod. uncertain),Kapru,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/37
Kar-bel-matati (mod. uncertain),Kar-bel-matati,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/141
Kar-Nabu (mod. uncertain),Kar-Nabu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/134
Kašši... (mod. uncertain),Kašši...,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/388
Kazallu (mod. uncertain),Kazallu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/193
Šahdad (mod. Kerman),Kerman,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/614
Kesh (mod. uncertain),Kesh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/69
KI.AN (mod. uncertain),KI.AN,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/315
uncertain (mod. Kocapınar),Kocapınar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/976
uncertain (mod. Kūm Dafnah),Kūm Dafnah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/725
Kumu (mod. uncertain),Kumu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/151
Lagaba (mod. uncertain),Lagaba,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/16
uncertain (mod. Lahir),Lahir,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/9
uncertain (mod. Lchashen),Lchashen,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/843
uncertain (mod. Lidar Höyük),Lidar Höyük,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/648
Ma'allanate (mod. uncertain),Ma'allanate,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/393
uncertain (mod. Mah-i-dasht plain),Mah-i-dasht plain,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/18
uncertain (mod. Mahmudiyah),Mahmudiyah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/418
uncertain (mod. Maṭār ‘Ammān al-Madanī),Maṭār ‘Ammān al-Madanī,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/669
uncertain (mod. Merj Khamis),Merj Khamis,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/419
Naḫalla (mod. uncertain),Naḫalla,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/201
uncertain (mod. Nar-Madanu),Nar-Madanu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/313
Naṣir (mod. uncertain),Naṣir,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/63
uncertain (mod. Nessana),Nessana,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/238
Alitschalu (mod. Ōdzaberd),Ōdzaberd,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/980
Nerik (mod. Oymaağaç Höyük),Oymaağaç Höyük,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/888
Carnuntum (mod. Petronell-Carnuntum),Petronell-Carnuntum,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1014
uncertain (mod. Qal’eh-i Imam),Qal’eh-i Imam,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/616
uncertain (mod. Qantīr),Qantīr,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/903
uncertain (mod. Qaṭibat),Qaṭibat,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/76
Qāṭīnu (mod. uncertain),Qāṭīnu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/397
Qatuna (mod. uncertain),Qatuna,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/61
uncertain (mod. Qufṭ),Qufṭ,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/906
uncertain (mod. Quwakh Tapeh),Quwakh Tapeh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1023
Sagub (mod. uncertain),Sagub,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/255
Šaḫrinu (mod. uncertain),Šaḫrinu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/87
Saḫrītu (mod. uncertain),Saḫrītu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1018
uncertain (mod. Ṣan al-Hagar),Ṣan al-Hagar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/950
Šašrum (mod. uncertain),Šašrum,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/186
uncertain (mod. Shapiya),Shapiya,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/924
Šuppatu (mod. uncertain),Šuppatu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1019
Ṣurmeš (mod. uncertain),Ṣurmeš,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/70
Surru (mod. uncertain),Surru,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/29
Šūru (mod. uncertain),Šūru,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/644
Šušan (mod. uncertain),Šušan,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1017
uncertain (mod. Tag),Tag,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/617
uncertain (mod. Tall Abū al-Dhahab),Tall Abū al-Dhahab,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/658
uncertain (mod. Tall Āfis),Tall Āfis,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/661
uncertain (mod. Tall al-Ḍabʻa),Tall al-Ḍabʻa,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/722
uncertain (mod. Tall al-Fakhār),Tall al-Fakhār,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/746
uncertain (mod. Tall al-Gharrān),Tall al-Gharrān,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/753
Qadeš (mod. Tall al-Nabī Mandū),Tall al-Nabī Mandū,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/899
Kar-Mullissi (mod. Tall al-Qaddīsah Barbārah),Tall al-Qaddīsah Barbārah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/634
Bit-Adad-eriba (mod. Tall Baqāq),Tall Baqāq,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/690
uncertain (mod. Tall Bazi),Tall Bazi,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1025
Armanum? (mod. Tall Bāzy),Tall Bāzy,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/692
uncertain (mod. Tall Bint al-Amīr),Tall Bint al-Amīr,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/685
Dur-Aššur-ketti-lešer (mod. Tall Budayrī),Tall Budayrī,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/694
Adama (mod. Tall Dāmiyā),Tall Dāmiyā,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/723
uncertain (mod. Tall Ḥadwat al-Faras),Tall Ḥadwat al-Faras,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/766
uncertain (mod. Tall Kozkhān),Tall Kozkhān,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/827
Kar-Assurnazirpal (mod. Tall Masaikh),Tall Masaikh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/869
Azamhul (mod. Tall Muḥamad Diyāb),Tall Muḥamad Diyāb,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/853
uncertain (mod. Tall Nūyaja),Tall Nūyaja,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/874
uncertain (mod. Tall S‘aīd),Tall S‘aīd,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/915
uncertain (mod. Tall Warīsh),Tall Warīsh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/996
uncertain (mod. Tall-I Nokhodi),Tall-I Nokhodi,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/649
uncertain (mod. Tapah Gārān),Tapah Gārān,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/965
uncertain (mod. Tapah Mūsiyān),Tapah Mūsiyān,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/973
uncertain (mod. Tel Duweihes),Tel Duweihes,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/960
uncertain (mod. Tel Gamma),Tel Gamma,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/793
uncertain (mod. Tel Hebron),Tel Hebron,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/771
uncertain (mod. Tell Abu Galgal),Tell Abu Galgal,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/645
uncertain (mod. Tell Abu Hajar),Tell Abu Hajar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/430
uncertain (mod. Tell Abu Nakhlab),Tell Abu Nakhlab,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/8
Turbessel (mod. Tell Bāshir),Tell Bāshir,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/650
uncertain (mod. Tell Basmaya),Tell Basmaya,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1012
Per-Bast (mod. Tell Basta),Tell Basta,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/642
Lachish (mod. Tell ed-Duweir),Tell ed-Duweir,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/643
uncertain (mod. Tell Fray),Tell Fray,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/432
Guzana (mod. Tell Halaf),Tell Halaf,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/637
uncertain (mod. Tell Kar),Tell Kar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/641
uncertain (mod. Tell Khaiber),Tell Khaiber,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/635
Uncertain (mod. Tell Kirbāsi),Tell Kirbāsi,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1010
uncertain (mod. Tell Sabi Abyad),Tell Sabi Abyad,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/640
Tigunānum (mod. uncertain),Tigunānum,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/51
uncertain (mod. Til-Buri),Til-Buri,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/228
uncertain (mod. Tiryntha),Tiryntha,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/967
uncertain (mod. Ṭūd),Ṭūd,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/975
uncertain (mod. Tulūl ‘Adāy),Tulūl ‘Adāy,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/946
uncertain (mod. Tulūl Abū ‘Aẓam),Tulūl Abū ‘Aẓam,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/945
uncertain (mod. Tulūl al-Fāj),Tulūl al-Fāj,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/660
uncertain (mod. Tulūl al-Khāldiyah),Tulūl al-Khāldiyah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/949
uncertain (mod. Tulūl Bismāyah),Tulūl Bismāyah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/706
uncertain (mod. Tulul Khatab),Tulul Khatab,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/636
uncertain (mod. Tulūl Kubībah),Tulūl Kubībah,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/1016
Malgium (mod. Tulūl Yassir),Tulūl Yassir,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/172
Udannu (mod. uncertain),Udannu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/152
Uhudu (mod. uncertain),Uhudu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/145
uncertain (mod. Uluburun),Uluburun,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/442
uncertain (mod. Uluşar),Uluşar,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/825
uncertain (mod. Umm el-Djerab),Umm el-Djerab,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/639
Yāhūdu (mod. uncertain),Yāhūdu,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/406
uncertain (mod. Yalındüz),Yalındüz,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/951
uncertain (mod. Yanik Tepe),Yanik Tepe,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/638
Gasur/Nuzi (mod. Yorgan Tepe),Yorgan Tepe,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/222
uncertain (mod. Za'aleh),Za'aleh,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/122
uncertain (mod. Ηeraio Samou),Ηeraio Samou,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/780
uncertain (mod. Новый Кумак),Новый Кумак,,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/880
