Len,Aen,,Aen,FG-Q,P2_1,P2_2,P694,P48,P131_1,P131_2
KI.AN,KI.AN,,KI.AN (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/315,,Q389597,Q393513
Kocapınar,mod. Kocapınar),,uncertain (mod. Kocapınar),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/976,,Q389597,Q393513
Kūm Dafnah,mod. Kūm Dafnah),,uncertain (mod. Kūm Dafnah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/725,,Q389597,Q393513
Kumu,Kumu,,Kumu (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/151,,Q389597,Q393513
Lagaba,Lagaba,,Lagaba (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/16,,Q389597,Q393513
Lahir,mod. Lahir),,uncertain (mod. Lahir),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/9,,Q389597,Q393513
Lchashen,mod. Lchashen),,uncertain (mod. Lchashen),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/843,,Q389597,Q393513
Ma'allanate,Ma'allanate,,Ma'allanate (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/393,,Q389597,Q393513
Mah-i-dasht plain,mod. Mah-i-dasht plain),,uncertain (mod. Mah-i-dasht plain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/18,,Q389597,Q393513
Mahmudiyah,mod. Mahmudiyah),,uncertain (mod. Mahmudiyah),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/418,,Q389597,Q393513
Merj Khamis,mod. Merj Khamis),,uncertain (mod. Merj Khamis),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/419,,Q389597,Q393513
Naḫalla,Naḫalla,,Naḫalla (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/201,,Q389597,Q393513
Nar-Madanu,mod. Nar-Madanu),,uncertain (mod. Nar-Madanu),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/313,,Q389597,Q393513
Naṣir,Naṣir,,Naṣir (mod. uncertain),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/63,,Q389597,Q393513
Nessana,mod. Nessana),,uncertain (mod. Nessana),,Q8,Q389596,https://cdli.mpiwg-berlin.mpg.de/proveniences/238,,Q389597,Q393513
