FactGrid_ID,Label,Alias,Description,Category,Part_of1,Volumes,Part_of2,Part_of3,Volume_nr,Oracc_website,Corpus,License,License_date,License_date_begin,Online_data,Research_Contribution,Archaeological_Project
https://database.factgrid.de/wiki/Item:Q800748,Assyrian Royal Rituals and Cultic Texts,saa20,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,20,http://oracc.museum.upenn.edu/saao/saa20,http://oracc.museum.upenn.edu/saao/saa20/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800749,"The Correspondence of Assurbanipal, Part I: Letters from Assyria, Babylonia, and Vassal States",saa21,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,21,http://oracc.museum.upenn.edu/saao/saa21,http://oracc.museum.upenn.edu/saao/saa21/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800726,State Archives of Assyria Online,saao,Research project within the ORACC database,Q417872,Q425152,21 Volume,Q780641,,,http://oracc.museum.upenn.edu/saao,https://oracc.museum.upenn.edu/saao/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800750,The Eponyms of the Assyrian Empire 910-612 BC,saas2,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800726,,http://oracc.museum.upenn.edu/saao/saas2,http://oracc.museum.upenn.edu/saao/saas2/corpus,Q780614,2007,2014,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q780645,Neo-Assyrian Archival Texts from Sam’al,samal,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800732,,http://oracc.museum.upenn.edu/atae/samal,https://oracc.museum.upenn.edu/atae/samal/corpus,Q780614,2007,2021,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800751,Suhu: The Inscriptions of Suhu online,suhu,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/suhu,https://oracc.museum.upenn.edu/suhu/corpus/,Q780614,2007,2015,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q780646,Neo-Assyrian Archival Texts from Šibaniba,szibaniba,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800732,,http://oracc.museum.upenn.edu/atae/szibaniba,https://oracc.museum.upenn.edu/atae/szibaniba/corpus,Q780614,2007,2021,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800752,Text Corpus of Middle Assyrian,tcma,Research project within the ORACC database,Q417872,Q425152,,,,,http://oracc.museum.upenn.edu/tcma,https://oracc.museum.upenn.edu/tcma/corpus,Q780614,2007,2020,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q780647,Neo-Assyrian Archival Texts from Til-Barsip,tilbarsip,Research project within the ORACC database,Q417872,Q425152,,Q780641,Q800732,,http://oracc.museum.upenn.edu/atae/tilbarsip,https://oracc.museum.upenn.edu/atae/tilbarsip/corpus,Q780614,2007,2021,https://doi.org/10.5281/zenodo.10794626,Q389597,
https://database.factgrid.de/wiki/Item:Q800753,Textual Sources of the Assyrian Empire,tsae,Research project within the ORACC database,Q417872,Q425152,,Q780641,,,http://oracc.museum.upenn.edu/tsae,https://oracc.museum.upenn.edu/tsae/corpus,Q780614,2007,2020,https://doi.org/10.5281/zenodo.10794626,Q389597,
