Label,Modern,count,Provenience
Thêbai,mod. Thebes Beoticia Greece,38,38 Thêbai (mod. Thebes Beoticia Greece)
Tigunānum,mod. uncertain,11,11 Tigunānum (mod. uncertain)
Til Barsip,mod. Tell Ahmar,33,33 Til Barsip (mod. Tell Ahmar)
Timnah,mod. Khirbet Tibneh,19,19 Timnah (mod. Khirbet Tibneh)
Tripoli,mod. Al Mina,36,36 Tripoli (mod. Al Mina)
Tunip,mod. Acharneh,1,1 Tunip (mod. Acharneh)
Turbessel,mod. Tell Bāshir,13,13 Turbessel (mod. Tell Bāshir)
Tushhan,mod. Ziyaret Tepe,35,35 Tushhan (mod. Ziyaret Tepe)
Tuttul,mod. Tell Bi'a,393,393 Tuttul (mod. Tell Bi'a)
Tutub,mod. Khafaje,797,797 Tutub (mod. Khafaje)
Udannu,mod. uncertain,2,2 Udannu (mod. uncertain)
Ugarit,mod. Ras Shamra,"2,908","2,908 Ugarit (mod. Ras Shamra)"
Umma,mod. Tell Jokha,"36,875","36,875 Umma (mod. Tell Jokha)"
Uncertain,mod. Tell Kirbāsi,1,1 Uncertain (mod. Tell Kirbāsi)
Unqi,mod. Tell Ta'ynat,11,11 Unqi (mod. Tell Ta'ynat)
Upi,mod. Opis,3,3 Upi (mod. Opis)
Ur,mod. Tell Muqayyar,"12,385","12,385 Ur (mod. Tell Muqayyar)"
Urkesh,mod. Tell Mozan,40,40 Urkesh (mod. Tell Mozan)
Uruk,mod. Warka,"14,709","14,709 Uruk (mod. Warka)"
Yāhūdu,mod. uncertain,34,34 Yāhūdu (mod. uncertain)
Zabalam,mod. Tall Ibzaīykh,397,397 Zabalam (mod. Tall Ibzaīykh)
uncertain,mod. 'Ana,14,14 uncertain (mod. 'Ana)
uncertain,mod. Abu Fandowa,1,1 uncertain (mod. Abu Fandowa)
uncertain,mod. Abu Halawa,22,22 uncertain (mod. Abu Halawa)
uncertain,mod. Abu Jawan,11,11 uncertain (mod. Abu Jawan)
uncertain,mod. Abu Salabikh,573,573 uncertain (mod. Abu Salabikh)
uncertain,mod. Abu Sêcher,5,5 uncertain (mod. Abu Sêcher)
uncertain,mod. Abu-Maria,1,1 uncertain (mod. Abu-Maria)
uncertain,mod. Alisar,55,55 uncertain (mod. Alisar)
uncertain,mod. Amran,1,1 uncertain (mod. Amran)
uncertain,mod. Aqabi,2,2 uncertain (mod. Aqabi)
uncertain,mod. Aşağı Yarımca,2,2 uncertain (mod. Aşağı Yarımca)
uncertain,"mod. Babil, Turkey",2,"2 uncertain (mod. Babil, Turkey)"
uncertain,mod. Bardi Sanjian Bitwata,8,8 uncertain (mod. Bardi Sanjian Bitwata)
uncertain,mod. Bavian,4,4 uncertain (mod. Bavian)
uncertain,mod. Behistun,4,4 uncertain (mod. Behistun)
uncertain,mod. Beisan,1,1 uncertain (mod. Beisan)
uncertain,mod. Ben Shemen,2,2 uncertain (mod. Ben Shemen)
uncertain,mod. Beydar,225,225 uncertain (mod. Beydar)
uncertain,mod. Brissa,2,2 uncertain (mod. Brissa)
uncertain,mod. Cave Kalm-karra,2,2 uncertain (mod. Cave Kalm-karra)
uncertain,mod. Chamchamal,1,1 uncertain (mod. Chamchamal)
uncertain,mod. Chenar-e Pain,2,2 uncertain (mod. Chenar-e Pain)
uncertain,mod. Chia Puikeh,1,1 uncertain (mod. Chia Puikeh)
uncertain,mod. Chogha Mish,11,11 uncertain (mod. Chogha Mish)
uncertain,mod. Dawali,2,2 uncertain (mod. Dawali)
uncertain,mod. Deh-e No,6,6 uncertain (mod. Deh-e No)
uncertain,mod. Dharan,1,1 uncertain (mod. Dharan)
uncertain,mod. Diqdiqqah,180,180 uncertain (mod. Diqdiqqah)
uncertain,mod. Dohuk,1,1 uncertain (mod. Dohuk)
