provenience,Len,FG_qid,ancientplace
Thêbai (mod. Thebes Beoticia Greece),Khān Ḥaswā,Q389966,https://database.factgrid.de/entity/Q389966
Til Barsip (mod. Tell Ahmar),Haradum,Q389967,https://database.factgrid.de/entity/Q389967
Timnah (mod. Khirbet Tibneh),Timnah,Q389640,https://database.factgrid.de/entity/Q389640
"Toprakkale, Eastern Anatolia",Dur-Sharrukin,Q389969,https://database.factgrid.de/entity/Q389969
Tunip (mod. Acharneh),Qaqun,Q389637,https://database.factgrid.de/entity/Q389637
Tushhan (mod. Ziyaret Tepe),Arrapha,Q390010,https://database.factgrid.de/entity/Q390010
Tuttul (mod. Tell Bi'a),Kizkapanlı,Q390047,https://database.factgrid.de/entity/Q390047
Tutub (mod. Khafaje),Konār Sandal,Q389734,https://database.factgrid.de/entity/Q389734
Ugarit (mod. Ras Shamra),Kültepe,Q390036,https://database.factgrid.de/entity/Q390036
Uhaimir-Kish (mod. Tell Uhaimir) : Kish (mod. Tell Ingharra) : Kish (mod. Tell Uhaimir) : Hursagkalama (mod. Ingharra) : Kish (mod. Tell el-Bender),Üçtepe,Q390069,https://database.factgrid.de/entity/Q390069
Uhaimir-Kish (mod. Tell Uhaimir) : Kish (mod. Tell Ingharra) : Kish (mod. Tell Uhaimir) : Hursagkalama (mod. Ingharra) : Kish (mod. Tell el-Bender),Kuşaklı,Q390044,https://database.factgrid.de/entity/Q390044
Uhaimir-Kish (mod. Tell Uhaimir) : Kish (mod. Tell Ingharra) : Kish (mod. Tell Uhaimir) : Hursagkalama (mod. Ingharra) : Kish (mod. Tell el-Bender),Nīnūa,Q390025,https://database.factgrid.de/entity/Q390025
Uhaimir-Kish (mod. Tell Uhaimir) : Kish (mod. Tell Ingharra) : Kish (mod. Tell Uhaimir) : Hursagkalama (mod. Ingharra) : Kish (mod. Tell el-Bender),Nīnūa,Q390025,https://database.factgrid.de/entity/Q390025
Uhaimir-Kish (mod. Tell Uhaimir) : Kish (mod. Tell Ingharra) : Kish (mod. Tell Uhaimir) : Hursagkalama (mod. Ingharra) : Kish (mod. Tell el-Bender),Kition,Q389605,https://database.factgrid.de/entity/Q389605
Umma (mod. Tell Jokha),Tall Laiylān,Q389934,https://database.factgrid.de/entity/Q389934
uncertain (mod. 'Ana),Surkh Dum Lurī,Q389717,https://database.factgrid.de/entity/Q389717
uncertain (mod. Abu Fandowa),Maşat Höyük,Q390037,https://database.factgrid.de/entity/Q390037
uncertain (mod. Abu Halawa),Ishān Miziyad,Q389799,https://database.factgrid.de/entity/Q389799
uncertain (mod. Abu Jawan),Tel Megiddo,Q389635,https://database.factgrid.de/entity/Q389635
uncertain (mod. Abu Salabikh),Mila Mergi,Q390107,https://database.factgrid.de/entity/Q390107
uncertain (mod. Abu-Maria) : Apqu-ša-Adad (mod. Tell Abu Marya) : uncertain (mod. Abu-Maria),Ganjnāmah,Q389737,https://database.factgrid.de/entity/Q389737
uncertain (mod. Abu-Maria) : Apqu-ša-Adad (mod. Tell Abu Marya) : uncertain (mod. Abu-Maria),Umm al-Jīr,Q389791,https://database.factgrid.de/entity/Q389791
uncertain (mod. Alisar),Nahr al-Kalb,Q390023,https://database.factgrid.de/entity/Q390023
uncertain (mod. Amuda) ?,Najafābād,Q389744,https://database.factgrid.de/entity/Q389744
uncertain (mod. As-Sib) : uncertain (mod. Tell es-Seeb),Naqsh Rustam,Q389745,https://database.factgrid.de/entity/Q389745
uncertain (mod. As-Sib) : uncertain (mod. Tell es-Seeb),Nigūb,Q390019,https://database.factgrid.de/entity/Q390019
uncertain (mod. Aşağı Yarımca),Naiyrab,Q390024,https://database.factgrid.de/entity/Q390024
"uncertain (mod. Babil, Turkey)",Nihāwand,Q390022,https://database.factgrid.de/entity/Q390022
uncertain (mod. Bardi Sanjian Bitwata),Nimrud,Q390020,https://database.factgrid.de/entity/Q390020
uncertain (mod. Bassetki),Nimrud,Q390020,https://database.factgrid.de/entity/Q390020
uncertain (mod. Bavian),Nufar,Q390017,https://database.factgrid.de/entity/Q390017
uncertain (mod. Behistun),Tall Ibrāhīm Bayis,Q389849,https://database.factgrid.de/entity/Q389849
uncertain (mod. Beisan),Ūbīs,Q389795,https://database.factgrid.de/entity/Q389795
"uncertain (mod. Ben Shemen, Israel)",Ortaköy,Q390033,https://database.factgrid.de/entity/Q390033
uncertain (mod. Beydar),Ozbaki,Q390165,https://database.factgrid.de/entity/Q390165
uncertain (mod. Brissa),Al-Ḥāīṭ,Q389806,https://database.factgrid.de/entity/Q389806
uncertain (mod. Cave Kalm-karra),Al-Ḥāīṭ,Q389806,https://database.factgrid.de/entity/Q389806
uncertain (mod. Chagar Bazar),Tadmur,Q389837,https://database.factgrid.de/entity/Q389837
