July_2023,cdli_genre,P121,P608,,P155,Other genres (not included in CDLI),Label
,,,,,,https://database.factgrid.de/entity/Q467701,Historical European martial arts
,,,,,,https://database.factgrid.de/entity/Q249725,Historical period
,,,,,,https://database.factgrid.de/entity/Q385286,Historical periodisation
,,,,,,https://database.factgrid.de/entity/Q39130,History
,,,,,,https://database.factgrid.de/entity/Q152261,History of art
,,,,,,https://database.factgrid.de/entity/Q160368,Horsemanship
,,,,,,https://database.factgrid.de/entity/Q246159,Horticulture
,,,,,,https://database.factgrid.de/entity/Q246173,housekeeping
,,,,,,https://database.factgrid.de/entity/Q246136,Human reproduction
,,,,,,https://database.factgrid.de/entity/Q246140,Hunting
,,,,,,https://database.factgrid.de/entity/Q245682,hydrology
,,,,,,https://database.factgrid.de/entity/Q246105,hygiene
,,,,,,https://database.factgrid.de/entity/Q464985,Individuality
,,,,,,https://database.factgrid.de/entity/Q246203,infant care
,,,,,,https://database.factgrid.de/entity/Q246114,instruction in Latin
,,,,,,https://database.factgrid.de/entity/Q245902,Jewish theology
,,,,,,https://database.factgrid.de/entity/Q80665,Journey
,,,,,,https://database.factgrid.de/entity/Q248778,Jurisdiction
,,,,,,https://database.factgrid.de/entity/Q102237,Kabbalah
,,,,,,https://database.factgrid.de/entity/Q451104,Larger period of early modern epoch formation
,,,,,,https://database.factgrid.de/entity/Q481212,Law
,,,,,,https://database.factgrid.de/entity/Q246087,Leather crafting
,,,,,,https://database.factgrid.de/entity/Q246202,life rule
,,,,,,https://database.factgrid.de/entity/Q452613,Literary art
,,,,,,https://database.factgrid.de/entity/Q245823,Literature
,,,,,,https://database.factgrid.de/entity/Q246122,lithotherapy
,,,,,,https://database.factgrid.de/entity/Q172218,Logic
,,,,,,https://database.factgrid.de/entity/Q102236,Magic
,,,,,,https://database.factgrid.de/entity/Q246206,magical plant
,,,,,,https://database.factgrid.de/entity/Q246080,martial arts
,,,,,,https://database.factgrid.de/entity/Q146582,Mathematics
,,,,,,https://database.factgrid.de/entity/Q220452,Mechanical engineering
,,,,,,https://database.factgrid.de/entity/Q22684,Medical condition
,,,,,,https://database.factgrid.de/entity/Q246113,Medical diagnosis
,,,,,,https://database.factgrid.de/entity/Q246127,Medical ethics
,,,,,,https://database.factgrid.de/entity/Q246201,Medical practice
,,,,,,https://database.factgrid.de/entity/Q76112,Medicine
,,,,,,https://database.factgrid.de/entity/Q398954,Medieval studies
,,,,,,https://database.factgrid.de/entity/Q246171,melothesia
,,,,,,https://database.factgrid.de/entity/Q246082,Metallurgy
,,,,,,https://database.factgrid.de/entity/Q246129,Meteorology
,,,,,,https://database.factgrid.de/entity/Q246120,Military science
,,,,,,https://database.factgrid.de/entity/Q246123,Military tactics
,,,,,,https://database.factgrid.de/entity/Q246196,Mill-construction
,,,,,,https://database.factgrid.de/entity/Q246185,Mineralogy
,,,,,,https://database.factgrid.de/entity/Q246156,Mining
,,,,,,https://database.factgrid.de/entity/Q245825,Modern language
,,,,,,https://database.factgrid.de/entity/Q246205,moon magic
,,,,,,https://database.factgrid.de/entity/Q451059,Moral improvement
,,,,,,https://database.factgrid.de/entity/Q246211,mummification
,,,,,,https://database.factgrid.de/entity/Q11245,Music
,,,,,,https://database.factgrid.de/entity/Q173478,Musical performance
,,,,,,https://database.factgrid.de/entity/Q246055,Mysticism
,,,,,,https://database.factgrid.de/entity/Q245695,Mythology
,,,,,,https://database.factgrid.de/entity/Q246178,Natural disaster
,,,,,,https://database.factgrid.de/entity/Q246177,Natural history
,,,,,,https://database.factgrid.de/entity/Q39266,Natural law
,,,,,,https://database.factgrid.de/entity/Q246097,natural phenomena
,,,,,,https://database.factgrid.de/entity/Q394224,Natural philosophy
,,,,,,https://database.factgrid.de/entity/Q245824,Natural science
,,,,,,https://database.factgrid.de/entity/Q246072,navigation
,,,,,,https://database.factgrid.de/entity/Q245826,Near Eastern languages
,,,,,,https://database.factgrid.de/entity/Q246135,Necromancy
,,,,,,https://database.factgrid.de/entity/Q246162,Obstetrics
,,,,,,https://database.factgrid.de/entity/Q246132,Occupational hygiene
,,,,,,https://database.factgrid.de/entity/Q246163,onomancy
,,,,,,https://database.factgrid.de/entity/Q246197,orcharding
,,,,,,https://database.factgrid.de/entity/Q246119,organotherapy
,,,,,,https://database.factgrid.de/entity/Q468139,Orthography
,,,,,,https://database.factgrid.de/entity/Q246092,paediatrics
,,,,,,https://database.factgrid.de/entity/Q246115,palmistry
,,,,,,https://database.factgrid.de/entity/Q245901,Pedagogy
,,,,,,https://database.factgrid.de/entity/Q246167,Pharmacy
,,,,,,https://database.factgrid.de/entity/Q452643,Phenomenon
,,,,,,https://database.factgrid.de/entity/Q146581,Philology
,,,,,,https://database.factgrid.de/entity/Q144735,Philosophy
,,,,,,https://database.factgrid.de/entity/Q456340,Philosophy of law
,,,,,,https://database.factgrid.de/entity/Q452642,Physical phenomenon
,,,,,,https://database.factgrid.de/entity/Q246186,physiognomy
,,,,,,https://database.factgrid.de/entity/Q246107,pilgrimage
,,,,,,https://database.factgrid.de/entity/Q246100,polemology
,,,,,,https://database.factgrid.de/entity/Q245827,political sciences
,,,,,,https://database.factgrid.de/entity/Q246112,Preventive healthcare
,,,,,,https://database.factgrid.de/entity/Q246174,Prognostication
,,,,,,https://database.factgrid.de/entity/Q246117,Pronunciation
,,,,,,https://database.factgrid.de/entity/Q246126,Prophecy
,,,,,,https://database.factgrid.de/entity/Q234043,Religion
,,,,,,https://database.factgrid.de/entity/Q465011,Religious studies
,,,,,,https://database.factgrid.de/entity/Q398947,Research data management
,,,,,,https://database.factgrid.de/entity/Q230309,rhetoric
,,,,,,https://database.factgrid.de/entity/Q249695,Scrying
,,,,,,https://database.factgrid.de/entity/Q246085,sculpting
,,,,,,https://database.factgrid.de/entity/Q246139,seamanship
,,,,,,https://database.factgrid.de/entity/Q451057,Secrets of politics
,,,,,,https://database.factgrid.de/entity/Q451056,Secrets of trade
,,,,,,https://database.factgrid.de/entity/Q468937,sepulcral culture
,,,,,,https://database.factgrid.de/entity/Q404297,Sexology
,,,,,,https://database.factgrid.de/entity/Q464984,Sexuality
,,,,,,https://database.factgrid.de/entity/Q246172,soap-making
,,,,,,https://database.factgrid.de/entity/Q220450,Sociology
,,,,,,https://database.factgrid.de/entity/Q398951,Software
,,,,,,https://database.factgrid.de/entity/Q246190,sorcery
,,,,,,https://database.factgrid.de/entity/Q246138,Sports
,,,,,,https://database.factgrid.de/entity/Q246149,Surgery
,,,,,,https://database.factgrid.de/entity/Q246182,Surveying
,,,,,,https://database.factgrid.de/entity/Q246166,table manners
,,,,,,https://database.factgrid.de/entity/Q173689,Taxation Authority
,,,,,,https://database.factgrid.de/entity/Q246078,technology
,,,,,,https://database.factgrid.de/entity/Q246077,textile arts
,,,,,,https://database.factgrid.de/entity/Q246084,The art of painting
,,,,,,https://database.factgrid.de/entity/Q246208,theft mantics
,,,,,,https://database.factgrid.de/entity/Q76110,Theology
,,,,,,https://database.factgrid.de/entity/Q468128,Theory of knowledge
,,,,,,https://database.factgrid.de/entity/Q467730,Town privilege
,,,,,,https://database.factgrid.de/entity/Q219530,Trade
,,,,,,https://database.factgrid.de/entity/Q246109,Veterinary medicine
,,,,,,https://database.factgrid.de/entity/Q246130,Viticulture
,,,,,,https://database.factgrid.de/entity/Q246116,weather forecast
,,,,,,https://database.factgrid.de/entity/Q246209,well-construction
,,,,,,https://database.factgrid.de/entity/Q246151,Wrestling
,,,,,,https://database.factgrid.de/entity/Q175370,Writing
,,,,,,https://database.factgrid.de/entity/Q246153,Zoology
