qid,Aen,Len,Lde,Lfr,Les,Ltr,Den,P2,P3,P287,P125,P156,P146,P771,P131,P131,?,,,,,,,,,,,,,,,,,,,,"FactGrid Items for Universities, Museums",
factgrid_id,abb,collection_name Collection,collection_name Collection,,,,,,,type of organization,collection_actor_status,collection_url,cdli_url,wikidata_id,research projs,,wiki_url_eng,collection_name_native,name_native_iso,wiki_url_native,geonames_id,collection_id,cdli_id,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,notes,to_be_deleted,url_native_iso,osm_id,osm_type,,,
Q404892,Cole,Los Angeles County Museum of Art Collection,Los Angeles County Museum of Art Collection,Los Angeles County Museum of Art Collection,Los Angeles County Museum of Art Collection,Los Angeles County Museum of Art Collection,"Los Angeles County Museum of Art (LACMA), Los Angeles, California, USA",Q484898,,Q145257,Q11278,https://www.lacma.org,https://cdli.earth/collections/510,Q1641836,Q389597,Q389595,https://en.wikipedia.org/wiki/Los_Angeles_County_Museum_of_Art,Los Angeles County Museum of Art,eng,https://en.wikipedia.org/wiki/Los_Angeles_County_Museum_of_Art,5368383,451,510,Extant,Agency,Public,1,USA,USA.5_1,USA.5.19_1,,0,eng,,,,Jena Phyletic Museum,https://database.factgrid.de/entity/Q140758
Q484948,,Princeton University Library,Princeton University Library,Princeton University Library,Princeton University Library,Princeton University Library,"Princeton University Library, Princeton, New Jersey, USA",Q550435,,Q160273,Q11276,https://library.princeton.edu,https://cdli.earth/collections/366,Q3297681,Q389597,Q389595,https://en.wikipedia.org/wiki/Princeton_University_Library,Princeton University Library,eng,https://en.wikipedia.org/wiki/Princeton_University_Library,5097910,281,366,Extant,Educational institution,Group,1,USA,USA.31_1,USA.31.11_1,,0,eng,,,,University of Aix-en-Provence,https://database.factgrid.de/entity/Q159933
Q510658,,Vorderasiatisches Museum,Vorderasiatisches Museum,Vorderasiatisches Museum,Vorderasiatisches Museum,Vorderasiatisches Museum,"Vorderasiatisches Museum, Berlin, Germany",Q23239,,Q145257,Q11278,https://www.smb.museum/museen-einrichtungen/vorderasiatisches-museum/home,https://cdli.earth/collections/215,Q542084,Q389597,Q389595,https://en.wikipedia.org/wiki/Vorderasiatisches_Museum_Berlin,Vorderasiatisches Museum,deu,https://de.wikipedia.org/wiki/Vorderasiatisches_Museum_Berlin,7911193,4,215,Extant,Agency,Public,1,DEU,DEU.3_1,DEU.3.1_1,,0,deu,,,,Museum Schloss Fürstenberg,https://database.factgrid.de/entity/Q146579
Q511871,,"Bible Lands Museum, Jerusalem Collection","Bible Lands Museum, Jerusalem Collection","Bible Lands Museum, Jerusalem Collection","Bible Lands Museum, Jerusalem Collection","Bible Lands Museum, Jerusalem Collection","Bible Lands Museum, Jerusalem",Q23239,,,Q11276,https://www.blmj.org,https://cdli.earth/collections/909,Q126130,Q389597,Q389595,https://en.wikipedia.org/wiki/Bible_Lands_Museum,מוזיאון ארצות המקרא ירושלים,heb,https://he.wikipedia.org/wiki/מוזיאון_ארצות_המקרא_ירושלים,0,288,909,Extant,Uncertain,Uncertain,0,ISR,ISR.6_1,0,,0,heb,216674312,way,,City Museum Jena,https://database.factgrid.de/entity/Q147191
Q511874,,Iraq Museum,Iraq Museum,Iraq Museum,Iraq Museum,Iraq Museum,"National Museum of Iraq, Baghdad, Iraq",Q23239,,Q145257,Q11278,https://www.theiraqmuseum.com/index.html,https://cdli.earth/collections/1100,Q521251,Q389597,Q389595,https://en.wikipedia.org/wiki/Iraq_Museum,المتحف العراقي,ara,https://ar.wikipedia.org/wiki/المتحف_العراقي,0,42,1100,Extant,Agency,Public,1,IRQ,IRQ.10_1,IRQ.10.1_1,,0,ara,7973082344,node,,Israel Museum,https://database.factgrid.de/entity/Q169485
Q511875,,Damascus National Museum,Damascus National Museum,Damascus National Museum,Damascus National Museum,Damascus National Museum,"National Museum of Syria, Damascus, Syria",Q23239,,Q145257,Q11278,http://dgam.gov.sy/المتاحف-الوطنية/المتحف-الوطني/,https://cdli.earth/collections/1206,Q617254,Q389597,Q389595,https://en.wikipedia.org/wiki/National_Museum_of_Damascus,المتحف الوطني دمشق,ara,https://ar.wikipedia.org/wiki/المتحف_الوطني_بدمشق,7642366,34,1206,Extant,Agency,Public,1,SYR,SYR.13_1,SYR.13.6_1,,0,ara,,,,Schloss Bothmer,https://database.factgrid.de/entity/Q174606
Q511876,,Michael C. Carlos Museum,Michael C. Carlos Museum,Michael C. Carlos Museum,Michael C. Carlos Museum,Michael C. Carlos Museum,Michael C. Carlos Museum,Q23239,,Q160273,Q11276,https://carlos.emory.edu,https://cdli.earth/collections/1251,Q6829008,Q389597,Q389595,https://en.wikipedia.org/wiki/Michael_C._Carlos_Museum,Michael C. Carlos Museum,eng,https://en.wikipedia.org/wiki/Michael_C._Carlos_Museum,4209030,166,1251,Extant,Educational institution,Group,0,USA,USA.11_1,USA.11.44_1,,0,eng,,,,Topf & Sons Place of Remembrance,https://database.factgrid.de/entity/Q195102
Q511877,,American University of Beirut Archaeological Museum,American University of Beirut Archaeological Museum,American University of Beirut Archaeological Museum,American University of Beirut Archaeological Museum,American University of Beirut Archaeological Museum,"American University of Beirut Archaeological Museum, Beirut, Lebanon",Q23239,,Q34987,Q11276,https://www.aub.edu.lb/museum_archeo,https://cdli.earth/collections/656,Q4785443,Q389597,Q389595,https://en.wikipedia.org/wiki/Archaeological_Museum_of_the_American_University_of_Beirut,المتحف الأثري في الجامعة الأمريكية في بيروت,ara,https://ar.wikipedia.org/wiki/المتحف_الأثري_في_الجامعة_الأمريكية_في_بيروت,0,234,656,Extant,Foundation,Group,1,LBN,LBN.3_1,LBN.3.1_1,,0,ara,5486326800,node,,Imperial War Museum,https://database.factgrid.de/entity/Q217835
Q511879,,"Archaeological Research Collection, University of Southern California Collection","Archaeological Research Collection, University of Southern California Collection","Archaeological Research Collection, University of Southern California Collection","Archaeological Research Collection, University of Southern California Collection","Archaeological Research Collection, University of Southern California Collection","Archaeological Research Collection, University of Southern California, Los Angeles, California, USA",Q11307,Q529854,Q160273,Q11278,https://dornsife.usc.edu/wsrp/usc-archaeological-research-collection,https://cdli.earth/collections/734,Q4614,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Southern_California,"Archaeological Research Collection, University of Southern California",eng,https://en.wikipedia.org/wiki/University_of_Southern_California,0,138,734,Extant,Educational institution,Group,1,USA,USA.5_1,USA.5.19_1,,0,eng,491697758,way,,Ostfriesisches Landesmuseum Emden,https://database.factgrid.de/entity/Q248792
Q511879,,University of Southern California Collection,University of Southern California Collection,University of Southern California Collection,University of Southern California Collection,University of Southern California Collection,University of Southern California,Q11307,Q529854,Q160273,Q11276,https://www.usc.edu,,Q4614,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Southern_California,University of Southern California,eng,https://en.wikipedia.org/wiki/University_of_Southern_California,7284975,1284,0,Extant,Educational institution,Group,1,USA,USA.5_1,USA.5.19_1,,0,eng,,,,Olomouc Museum of Local History,https://database.factgrid.de/entity/Q256640
Q511880,,"National Museum of Ethnology, Osaka Collection","National Museum of Ethnology, Osaka Collection","National Museum of Ethnology, Osaka Collection","National Museum of Ethnology, Osaka Collection","National Museum of Ethnology, Osaka Collection","National Museum of Ethnology, Osaka, Japan",Q23239,,Q145257,Q11278,https://www.minpaku.ac.jp,https://cdli.earth/collections/1037,Q147157,Q389597,Q389595,https://en.wikipedia.org/wiki/National_Museum_of_Ethnology_(Japan),国立民族学博物館,jpn,https://ja.wikipedia.org/wiki/国立民族学博物館,10235424,208,1037,Extant,Agency,Public,1,JPN,JPN.33_1,JPN.33.34_1,,0,jpn,,,,"Petersen House, Washington DC",https://database.factgrid.de/entity/Q262541
Q511881,,Deir Ezzor National Museum,Deir Ezzor National Museum,Deir Ezzor National Museum,Deir Ezzor National Museum,Deir Ezzor National Museum,"National Museum of Syria, Der-ez-Zor, Syria ?unlocated",Q23239,,Q145257,Q11278,http://dgam.gov.sy/المتاحف-الوطنية/#1604583731745-93d942af-e1d4,https://cdli.earth/collections/685,Q1954780,Q389597,Q389595,https://en.wikipedia.org/wiki/Deir_ez-Zor_Museum,المتحف الوطني دير الزور,ara,https://ar.wikipedia.org/wiki/متحف_دير_الزور,7639062,39,685,Extant,Agency,Public,1,SYR,SYR.7_1,SYR.7.2_1,,0,ara,,,,Deutsches Hugenottenmuseum Bad Karlshafen,https://database.factgrid.de/entity/Q266689
