qid,Aen,Len,Lde,Lfr,Les,Ltr,Den,P2,P3,P287,P125,P156,P146,P771,P131,P131,?,,,,,,,,,,,,,,,,,,,,"FactGrid Items for Universities, Museums",
factgrid_id,abb,collection_name Collection,collection_name Collection,,,,,,,type of organization,collection_actor_status,collection_url,cdli_url,wikidata_id,research projs,,wiki_url_eng,collection_name_native,name_native_iso,wiki_url_native,geonames_id,collection_id,cdli_id,collection_holding_status,collection_actor,collection_actor_status,collection_loc,country_iso,region_gadm,district_gadm,notes,to_be_deleted,url_native_iso,osm_id,osm_type,,,
,,Hiroshima Jogakuin College Collection,Hiroshima Jogakuin College Collection,Hiroshima Jogakuin College Collection,Hiroshima Jogakuin College Collection,Hiroshima Jogakuin College Collection,"Hiroshima Jogakuin College, Hiroshima, Japan",Q21411,,Q160273,Q11276,https://www.hju.ac.jp/eng,https://cdli.earth/collections/573,Q8193054,Q389597,Q389595,https://en.wikipedia.org/wiki/Hiroshima_Jogakuin_University,広島女学院大学,jpn,https://ja.wikipedia.org/wiki/広島女学院大学,0,926,573,Extant,Educational institution,Group,1,JPN,JPN.11_1,JPN.11.9_1,,0,jpn,1423636051,node,,Biblioteca de l'Escola Sant Ignasi (Jesuïtes de Sarrià),https://database.factgrid.de/entity/Q779991
,,Hiroshima University Collection,Hiroshima University Collection,Hiroshima University Collection,Hiroshima University Collection,Hiroshima University Collection,"University of Hiroshima, Hiroshima, Japan",Q21411,Q529854,Q160273,Q11278,https://www.hiroshima-u.ac.jp,https://cdli.earth/collections/893,Q115220,Q389597,Q389595,https://en.wikipedia.org/wiki/Hiroshima_University,広島大学,jpn,https://ja.wikipedia.org/wiki/広島大学,0,1208,893,Extant,Educational institution,Public,1,JPN,JPN.11_1,JPN.11.8_1,,0,jpn,13235606,relation,,University of Budapest,https://database.factgrid.de/entity/Q451066
,,History Museum of Armenia Collection,History Museum of Armenia Collection,History Museum of Armenia Collection,History Museum of Armenia Collection,History Museum of Armenia Collection,History Museum of Armenia,Q23239,,Q145257,Q11278,https://historymuseum.am,,Q1138228,Q389597,Q389595,https://en.wikipedia.org/wiki/History_Museum_of_Armenia,Հայաստանի պատմության թանգարան,arm,https://hy.wikipedia.org/wiki/Հայաստանի_պատմության_թանգարան,0,1403,0,Extant,Agency,Public,1,ARM,ARM.4_1,0,,0,arm,1436858079,node,,"Austrian national library, manuscript collection",https://database.factgrid.de/entity/Q23127
,,Hixenbaugh Ancient Art Collection,Hixenbaugh Ancient Art Collection,Hixenbaugh Ancient Art Collection,Hixenbaugh Ancient Art Collection,Hixenbaugh Ancient Art Collection,"Hixenbaugh Ancient Art (gallery), New York, NY, USA",Q21411,,Q21907,Q11276,https://www.hixenbaugh.net,https://cdli.earth/collections/−190,,Q389597,Q389595,,Hixenbaugh Ancient Art,eng,,0,1294,-190,Unknown,Company,Group,1,USA,USA.33_1,USA.33.32_1,,0,,266238401,way,,Vanderbilt University,https://database.factgrid.de/entity/Q408518
,,Hoffman Collection,Hoffman Collection,Hoffman Collection,Hoffman Collection,Hoffman Collection,"Private collection: Hoffman, E. A., unlocated",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1254,,Q389597,Q389595,,,,,,372,1254,Unknown,Person,Individual,0,,,,,0,,,,,,
,,Hollins University Collection,Hollins University Collection,Hollins University Collection,Hollins University Collection,Hollins University Collection,"Hollins University, Hollins, Virginia, USA",Q21411,Q529854,Q160273,Q11276,https://www.hollins.edu,https://cdli.earth/collections/891,Q12060410,Q389597,Q389595,https://en.wikipedia.org/wiki/Hollins_University,Hollins University,eng,https://en.wikipedia.org/wiki/Hollins_University,4764537,928,891,Extant,Educational institution,Group,1,USA,USA.47_1,USA.47.107_1,,0,eng,,,,Pázmány Péter Royal Hungarian University,https://database.factgrid.de/entity/Q451067
,,Holzmeister Collection,Holzmeister Collection,Holzmeister Collection,Holzmeister Collection,Holzmeister Collection,Sammlung Holzmeister,Q21411,,,Q11276,,https://cdli.earth/collections/676,,Q389597,Q389595,,,,,,1134,676,Unknown,Unknown,Unknown,0,,,,,0,,,,,,
,,Homs National Museum,Homs National Museum,Homs National Museum,Homs National Museum,Homs National Museum,"Homs Museum, Homs, Syria",Q23239,,Q145257,Q11278,http://dgam.gov.sy/المتاحف-الوطنية/#1604582711009-33ca2dc5-ab90,,,Q389597,Q389595,,المتحف الوطني حمص,ara,,0,52,0,Extant,Agency,Public,1,SYR,SYR.9_1,SYR.9.4_1,,0,,6124350121,node,,"Muzeum Brněnska, P.o.",https://database.factgrid.de/entity/Q23238
,,Hood Collection,Hood Collection,Hood Collection,Hood Collection,Hood Collection,"Private collection: Hood, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/753,,Q389597,Q389595,,,,,,931,753,Unknown,Person,Individual,0,USA,,,,0,,,,,,
,,Hood Museum of Art Collection,Hood Museum of Art Collection,Hood Museum of Art Collection,Hood Museum of Art Collection,Hood Museum of Art Collection,"Hood Museum of Art, Dartmouth College, Hanover, New Hampshire, USA",Q23239,,Q160273,Q11276,https://hoodmuseum.dartmouth.edu,https://cdli.earth/collections/785,Q3140304,Q389597,Q389595,https://en.wikipedia.org/wiki/Hood_Museum_of_Art,Hood Museum of Art,eng,https://en.wikipedia.org/wiki/Hood_Museum_of_Art,11748021,467,785,Extant,Educational institution,Group,1,USA,USA.30_1,USA.30.5_1,,0,eng,,,,Real Biblioteca del Monasterio de San Lorenzo de El Escorial,https://database.factgrid.de/entity/Q395974
,,Horn Museum,Horn Museum,Horn Museum,Horn Museum,Horn Museum,"Siegfried H. Horn Museum, Institute of Archaeology, Andrews University, Berrien Springs, Michigan, USA",Q23239,,Q160273,Q11276,https://andrewsarchaeology.org/museum,https://cdli.earth/collections/672,Q109176,Q389597,Q389595,https://en.wikipedia.org/wiki/Andrews_University,Siegfried H. Horn Museum,eng,https://en.wikipedia.org/wiki/Andrews_University,7161030,176,672,Extant,Educational institution,Group,1,USA,USA.23_1,USA.23.11_1,,0,eng,,,,"Pierpont Morgan Library, New York",https://database.factgrid.de/entity/Q398979
,,Hubert Grimme Collection,Hubert Grimme Collection,Hubert Grimme Collection,Hubert Grimme Collection,Hubert Grimme Collection,"Private collection: Sammlung H. Grimme, Cologne, Germany",Q21411,,Q173099,Q11267,,,,Q389597,Q389595,,,,,,253,0,Unknown,Person,Individual,0,DEU,DEU.10_1,DEU.10.24_1,,0,,,,,,
,,Hunter College Collection,Hunter College Collection,Hunter College Collection,Hunter College Collection,Hunter College Collection,"Hunter College, New York, New York, USA",Q21411,,Q160273,Q11278,https://hunter.cuny.edu,https://cdli.earth/collections/1076,Q1446181,Q389597,Q389595,https://en.wikipedia.org/wiki/Hunter_College,Hunter College,eng,https://en.wikipedia.org/wiki/Hunter_College,5112741,934,1076,Extant,Educational institution,Public,1,USA,USA.33_1,USA.33.32_1,,0,,,,,Biblioteca Balear del Monasterio de La Real,https://database.factgrid.de/entity/Q779993
,,Hunterian Collection,Hunterian Collection,Hunterian Collection,Hunterian Collection,Hunterian Collection,"The Hunterian Museum and Art Gallery, Glasgow, UK",Q23239,,Q160273,Q11278,https://www.gla.ac.uk/hunterian,https://cdli.earth/collections/552,Q1465387,Q389597,Q389595,https://en.wikipedia.org/wiki/Hunterian_Museum_and_Art_Gallery,Hunterian,eng,https://en.wikipedia.org/wiki/Hunterian_Museum_and_Art_Gallery,6290038,620,552,Extant,Educational institution,Public,1,GBR,GBR.3_1,GBR.3.16_1,,0,eng,,,,"The Huntington Library, Art Collections, and Botanical Gardens",https://database.factgrid.de/entity/Q399019
,,Huntington Library,Huntington Library,Huntington Library,Huntington Library,Huntington Library,"Huntington Library, San Marino, California, USA",Q11249,,Q34987,Q11276,https://www.huntington.org,https://cdli.earth/collections/332,Q1400558,Q389597,Q389595,https://en.wikipedia.org/wiki/Huntington_Library,Huntington Library,eng,https://en.wikipedia.org/wiki/Huntington_Library,5358731,935,332,Extant,Foundation,Group,1,USA,USA.5_1,USA.5.19_1,,0,eng,,,,Biblioteca Museu Víctor Balaguer,https://database.factgrid.de/entity/Q779875
,,Hussey Collection,Hussey Collection,Hussey Collection,Hussey Collection,Hussey Collection,"Private collection: Hussey, South Hadley, Massachusetts, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1161,,Q389597,Q389595,,,,,,937,1161,Unknown,Person,Individual,0,USA,USA.22_1,USA.22.8_1,,0,,,,,,
,,Idaho State Archives Collection,Idaho State Archives Collection,Idaho State Archives Collection,Idaho State Archives Collection,Idaho State Archives Collection,"Idaho State Archives, Idaho State Historical Society, Boise, Idaho, USA",Q21411,,Q34987,Q11276,https://history.idaho.gov/archives,https://cdli.earth/collections/1311,Q5987465,Q389597,Q389595,https://en.wikipedia.org/wiki/Idaho_State_Historical_Society,Idaho State Archives,eng,https://en.wikipedia.org/wiki/Idaho_State_Historical_Society,0,938,1311,Extant,Foundation,Group,1,USA,USA.13_1,USA.13.1_1,,0,eng,666218640,way,,"CRAI Biblioteca de Filosofia, Geografia i Història (Universitat de Barcelona)",https://database.factgrid.de/entity/Q780087
,,Idemitsu Museum of Arts Collection,Idemitsu Museum of Arts Collection,Idemitsu Museum of Arts Collection,Idemitsu Museum of Arts Collection,Idemitsu Museum of Arts Collection,"Idemitsu Museum of Arts, Tokyo, Japan",Q23239,,Q21907,Q11276,http://idemitsu-museum.or.jp,https://cdli.earth/collections/286,Q3076590,Q389597,Q389595,https://en.wikipedia.org/wiki/Idemitsu_Museum_of_Arts,"出光美術館,",jpn,https://ja.wikipedia.org/wiki/出光美術館,,520,286,Extant,Company,Group,1,JPN,JPN.41_1,JPN.41.6_1,,0,jpn,5403425184,node,,Aberdeen University Library,https://database.factgrid.de/entity/Q272551
,,Idlib National Museum,Idlib National Museum,Idlib National Museum,Idlib National Museum,Idlib National Museum,"National Museum of Syria, Idlib, Syria",Q23239,,Q145257,Q11278,http://dgam.gov.sy/المتاحف-الوطنية/#1604583790469-fcfa5147-6cd1,https://cdli.earth/collections/1038,,Q389597,Q389595,,المتاحف الوطنية إدلب,ara,https://ar.wikipedia.org//wiki/متحف_إدلب,0,348,1038,Unknown,Agency,Public,1,SYR,SYR.10_1,SYR.10.3_1,,0,ara,492400609,way,,University Library Leiden,https://database.factgrid.de/entity/Q23347
,,Ifergan Gallery,Ifergan Gallery,Ifergan Gallery,Ifergan Gallery,Ifergan Gallery,"Ifergan Gallery (antiquarian), Málaga, Spain",Q21411,,Q21907,Q11276,https://ifergangallery.com,https://cdli.earth/collections/431,,Q389597,Q389595,,Ifergan Gallery,spa,,0,939,431,Extant,Company,Group,1,ESP,ESP.1_1,ESP.1.7_1,,0,,5573716145,node,,"University of Western Brittany, Brest",https://database.factgrid.de/entity/Q418416
,,Ikuo Hirayama Collection,Ikuo Hirayama Collection,Ikuo Hirayama Collection,Ikuo Hirayama Collection,Ikuo Hirayama Collection,"Private collection: Ikuo Hirayama, Kamakura, Japan",Q21411,,Q173099,Q11267,,,Q3124280,Q389597,Q389595,https://en.wikipedia.org/wiki/Ikuo_Hirayama,平山郁夫,jpn,https://ja.wikipedia.org/wiki/平山郁夫,,429,390; 397,Unknown,Person,Individual,0,JPN,JPN.19_1,JPN.19.13_1,,0,jpn,,,,,
,,Iliff School of Theology Collection,Iliff School of Theology Collection,Iliff School of Theology Collection,Iliff School of Theology Collection,Iliff School of Theology Collection,"Iliff School of Theology, Denver, Colorado, USA",Q21411,,Q160273,Q11276,https://www.iliff.edu,https://cdli.earth/collections/1086,Q5998152,Q389597,Q389595,https://en.wikipedia.org/wiki/Iliff_School_of_Theology,Iliff School of Theology,eng,https://en.wikipedia.org/wiki/Iliff_School_of_Theology,5425951,940,1086,Extant,Educational institution,Group,1,USA,USA.6_1,USA.6.17_1,,0,eng,,,,Arxiu Diocesà de Barcelona,https://database.factgrid.de/entity/Q779994
,,Indianapolis Public Library,Indianapolis Public Library,Indianapolis Public Library,Indianapolis Public Library,Indianapolis Public Library,"Indianapolis-Marion County Public Library, Indianapolis, Indiana, USA",Q11249,,Q145257,Q11278,https://www.indypl.org,https://cdli.earth/collections/387,Q5839345,Q389597,Q389595,https://en.wikipedia.org/wiki/Indianapolis_Public_Library,Indianapolis Public Library,eng,https://en.wikipedia.org/wiki/Indianapolis_Public_Library,6341076,942,387,Extant,Agency,Public,1,USA,USA.15_1,USA.15.50_1,,0,eng,,,,Musée de l’Œuvre Notre-Dame,https://database.factgrid.de/entity/Q539499
,,Indjoudjian Collection,Indjoudjian Collection,Indjoudjian Collection,Indjoudjian Collection,Indjoudjian Collection,"Private collection: Indjoudjian, unlocated",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1078,,Q389597,Q389595,,,,,,943,1078,Unknown,Person,Individual,0,,,,,0,,,,,,
,,İnönü Primary School Collection,İnönü Primary School Collection,İnönü Primary School Collection,İnönü Primary School Collection,İnönü Primary School Collection,Courtyard of Adilcevaz school,Q21411,,Q160273,Q11278,https://adilcevazinonuilkokulu.meb.k12.tr/,,,Q389597,Q389595,0,İnönü İlkokulu,tur,0,0,1408,0,Extant,Educational institution,Public,1,TUR,TUR.18_1,TUR.18.1_1,,0,,0,,,Biblioteca Medicea Laurenziana,https://database.factgrid.de/entity/Q779995
,,Institut catholique de Paris Collection,Institut catholique de Paris Collection,Institut catholique de Paris Collection,Institut catholique de Paris Collection,Institut catholique de Paris Collection,"Institut Catholique, Paris, France",Q21411,,Q160273,Q11276,https://www.icp.fr,https://cdli.earth/collections/71,Q1470431,Q389597,Q389595,https://en.wikipedia.org/wiki/Institut_Catholique_de_Paris,Institut catholique de Paris,fra,https://fr.wikipedia.org/wiki/Institut_catholique_de_Paris,0,279,71,Extant,Educational institution,Group,0,FRA,FRA.8_1,FRA.8.3_1,,0,fra,141512289,way,,University of Bielefeld,https://database.factgrid.de/entity/Q635945
,,"Institut für Orientalistik, Freie Universität Berlin Collection","Institut für Orientalistik, Freie Universität Berlin Collection","Institut für Orientalistik, Freie Universität Berlin Collection","Institut für Orientalistik, Freie Universität Berlin Collection","Institut für Orientalistik, Freie Universität Berlin Collection",Freie Universität Berlin - Institut für Orientalistik,Q21411,,Q160273,Q11278,https://www.geschkult.fu-berlin.de/e/altorient,,Q153006,Q389597,Q389595,https://en.wikipedia.org/wiki/Free_University_of_Berlin,,,https://de.wikipedia.org/wiki/Freie_Universität_Berlin,0,712,0,Extant,Educational institution,Public,1,DEU,DEU.3_1,DEU.3.1_1,,0,deu,4844277,relation,,University of Murcia,https://database.factgrid.de/entity/Q635946
,,"Institut für Orientalistik, Innsbruck Collection","Institut für Orientalistik, Innsbruck Collection","Institut für Orientalistik, Innsbruck Collection","Institut für Orientalistik, Innsbruck Collection","Institut für Orientalistik, Innsbruck Collection","Institut für Orientalistik, Innsbruck, Austria",Q21411,,,Q11276,,https://cdli.earth/collections/1210,,Q389597,Q389595,,"Institut für Orientalistik, Innsbruck",deu,,,944,1210,Unknown,Uncertain,Uncertain,0,AUT,AUT.7_1,AUT.7.3_1,,0,,,,,,
,,"Institute of Ancient Near Eastern Studies, University of Tübingen Collection","Institute of Ancient Near Eastern Studies, University of Tübingen Collection","Institute of Ancient Near Eastern Studies, University of Tübingen Collection","Institute of Ancient Near Eastern Studies, University of Tübingen Collection","Institute of Ancient Near Eastern Studies, University of Tübingen Collection","Archaeological Institute, University of Tübingen, Tübingen, Germany",Q21411,Q529854,Q160273,Q11278,https://uni-tuebingen.de/fakultaeten/philosophische-fakultaet/fachbereiche/altertums-und-kunstwissenschaften/institut-fuer-die-kulturen-des-alten-orients-ianes/institut,https://cdli.earth/collections/1061,Q153978,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Tübingen,Institut für die Kulturen des Alten Orients,deu,,0,725,1061,Extant,Educational institution,Public,1,DEU,DEU.1_1,DEU.1.41_1,,0,,relation,19602,,Royal Hungarian József Nádor University of Technology and Economics,https://database.factgrid.de/entity/Q451068
,,Institute of Archaeological Sciences Ruhr-Universität Bochum Collection,Institute of Archaeological Sciences Ruhr-Universität Bochum Collection,Institute of Archaeological Sciences Ruhr-Universität Bochum Collection,Institute of Archaeological Sciences Ruhr-Universität Bochum Collection,Institute of Archaeological Sciences Ruhr-Universität Bochum Collection,"Archäologisches Institut, Ruhr-Universität Bochum, Bochum, Germany",Q21411,,Q160273,Q11278,https://www.ruhr-uni-bochum.de/archaeologie/index.html.de,https://cdli.earth/collections/380,,Q389597,Q389595,,Institut für Archäologische Wissenschaften,deu,,0,732,380,Unknown,Educational institution,Public,1,DEU,DEU.10_1,DEU.10.2_1,,0,,769671900,way,,Biblioteca del Senado de España,https://database.factgrid.de/entity/Q780001
,,"Institute of Archaeology, University of Copenhagen Collection","Institute of Archaeology, University of Copenhagen Collection","Institute of Archaeology, University of Copenhagen Collection","Institute of Archaeology, University of Copenhagen Collection","Institute of Archaeology, University of Copenhagen Collection","Institute of Archaeology, University of Copenhagen, Denmark; Institute of Archaeology, University of Copenhagen, Denmark",Q21411,Q529854,Q160273,Q11278,,,,Q389597,Q389595,,,,,,264,492; 1132,Terminated,Educational institution,Public,0,DNK,DNK.1_1,DNK.1.25_1,,0,,,,,University of Sciences Pécs,https://database.factgrid.de/entity/Q451069
,,"Institute of Archaeology, University of Turin Collection","Institute of Archaeology, University of Turin Collection","Institute of Archaeology, University of Turin Collection","Institute of Archaeology, University of Turin Collection","Institute of Archaeology, University of Turin Collection","Institute of Archaeology, University of Turin, Turin, Italy",Q21411,Q529854,Q160273,Q11278,,,,Q389597,Q389595,,,,,,679,0,Unknown,Educational institution,Public,0,ITA,ITA.13_1,ITA.13.6_1,,0,,,,,College of Fine Arts,https://database.factgrid.de/entity/Q451081
,,"Institute of Oriental Culture, University of Tokyo Collection","Institute of Oriental Culture, University of Tokyo Collection","Institute of Oriental Culture, University of Tokyo Collection","Institute of Oriental Culture, University of Tokyo Collection","Institute of Oriental Culture, University of Tokyo Collection","Institute of Oriental Culture, University of Tokyo, Tokyo, Japan",Q21411,Q529854,Q160273,Q11276,,https://cdli.earth/collections/159,,Q389597,Q389595,,,,,,440,159,Unknown,Educational institution,Unknown,0,JPN,JPN.41_1,,,0,,,,,College of Applied Arts,https://database.factgrid.de/entity/Q451082
,,"Institute of Oriental Studies, University of Cambridge Collection","Institute of Oriental Studies, University of Cambridge Collection","Institute of Oriental Studies, University of Cambridge Collection","Institute of Oriental Studies, University of Cambridge Collection","Institute of Oriental Studies, University of Cambridge Collection","Institute of Oriental Studies, University of Cambridge, Cambridge, UK",Q21411,Q529854,Q160273,Q11276,https://www.cam.ac.uk,https://cdli.earth/collections/1205,,Q389597,Q389595,,Institute of Oriental Studies,eng,,,945,1205,Unknown,Educational institution,Group,0,GBR,GBR.1_1,GBR.1.16_1,,0,,,,,"Technical University of Transport, Szeged/ Szolnok",https://database.factgrid.de/entity/Q451132
,,"Institute of Semitics, University of Groningen Collection","Institute of Semitics, University of Groningen Collection","Institute of Semitics, University of Groningen Collection","Institute of Semitics, University of Groningen Collection","Institute of Semitics, University of Groningen Collection","Institute of Semitics, University of Groningen, Groningen, Holland",Q21411,Q529854,Q160273,Q11278,https://www.rug.nl,https://cdli.earth/collections/933,Q850730,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Groningen,Institute of Semitics,eng,https://nl.wikipedia.org/wiki/Rijksuniversiteit_Groningen,,383,933,Unknown,Educational institution,Public,0,NLD,NLD.5_1,NLD.5.7_1,,0,nld,,,,University of Horticulture and Food Technology,https://database.factgrid.de/entity/Q451319
,,Ira & Larry Goldberg Coins & Collectibles Inc. Collection,Ira & Larry Goldberg Coins & Collectibles Inc. Collection,Ira & Larry Goldberg Coins & Collectibles Inc. Collection,Ira & Larry Goldberg Coins & Collectibles Inc. Collection,Ira & Larry Goldberg Coins & Collectibles Inc. Collection,Ira & Larry Goldberg Auctioneers (auction house),Q21411,,Q21907,Q11276,https://goldbergcoins.com,,,Q389597,Q389595,,Ira & Larry Goldberg Coins & Collectibles Inc.,eng,,0,1305,0,Extant,Company,Group,1,USA,USA.5_1,USA.5.19_1,,0,,5459804,relation,,University of Bucharest,https://database.factgrid.de/entity/Q385748
,,Irvin Department of Rare Books and Special Collections Collection,Irvin Department of Rare Books and Special Collections Collection,Irvin Department of Rare Books and Special Collections Collection,Irvin Department of Rare Books and Special Collections Collection,Irvin Department of Rare Books and Special Collections Collection,"Irvin Department of Rare Books and Special Collections, Ernest F. Hollings Special Collections Library, University of South Carolina Libraries, Columbia, South Carolina, USA",Q550435,,Q160273,Q11278,https://sc.edu/about/offices_and_divisions/university_libraries/browse/irvin_dept_special_collections/index.php,https://cdli.earth/collections/462,,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_South_Carolina_Libraries#Ernest_F._Hollings_Special_Collections_Library,Irvin Department of Rare Books and Special Collections,eng,https://en.wikipedia.org/wiki/University_of_South_Carolina_Libraries#Ernest_F._Hollings_Special_Collections_Library,4598516,172,462,Extant,Educational institution,Public,1,USA,USA.41_1,USA.41.40_1,,0,eng,,,,University of Oxford,https://database.factgrid.de/entity/Q144958
,,Irving Burton Collection,Irving Burton Collection,Irving Burton Collection,Irving Burton Collection,Irving Burton Collection,"Private collection: Dr & Mrs Irving Burton, Detroit, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/371,,Q389597,Q389595,,,,,,857,371,Unknown,Person,Individual,0,USA,USA.23_1,USA.23.86_1,,0,,,,,,
,,Israel Antiquities Authority Collection,Israel Antiquities Authority Collection,Israel Antiquities Authority Collection,Israel Antiquities Authority Collection,Israel Antiquities Authority Collection,"Israel Antiquities Authority, Israel; Israel Antiquities Authority storerooms; Israel Antiquities Authority, Jerusalem; Isreal Antiquties Authority, Jerusalem, Israel",Q21411,,Q145257,Q11276,http://www.antiquities.org.il/default.aspx,,Q2744135,Q389597,Q389595,https://en.wikipedia.org/wiki/Israel_Antiquities_Authority,רשות העתיקות,heb,https://he.wikipedia.org/wiki/רשות_העתיקות,0,21,592; 1318; 471; 1028,Extant,Agency,Public,0,ISR,ISR.6_1,,,0,heb,481321427,way,,University of Graz,https://database.factgrid.de/entity/Q175366
,,Ivan Franko National University of Lviv Collection,Ivan Franko National University of Lviv Collection,Ivan Franko National University of Lviv Collection,Ivan Franko National University of Lviv Collection,Ivan Franko National University of Lviv Collection,"University of Lwów, Poland",Q21411,Q529854,Q160273,Q11278,https://lnu.edu.ua,https://cdli.earth/collections/491,Q80207,Q389597,Q389595,https://en.wikipedia.org/wiki/University_of_Lviv,Львівський національний університет імені Івана Франка,ukr,https://uk.wikipedia.org/wiki/Львівський_національний_університет_імені_Івана_Франка,0,640,491,Extant,Educational institution,Public,1,UKR,UKR.14_1,UKR.14.9_1,,0,ukr,165713771,way,,Mainz University of Applied Sciences – Hochschule Mainz,https://database.factgrid.de/entity/Q452532
,,Ivan Saul Cutler Collection,Ivan Saul Cutler Collection,Ivan Saul Cutler Collection,Ivan Saul Cutler Collection,Ivan Saul Cutler Collection,"Private collection: Cutler, Ivan Saul, Greensboro, North Carolina, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/730,,Q389597,Q389595,,,,,,835,730,Unknown,Person,Individual,0,USA,USA.34_1,USA.34.41_1,,0,,,,,,
,,J. A. Langfeldt Collection,J. A. Langfeldt Collection,J. A. Langfeldt Collection,J. A. Langfeldt Collection,J. A. Langfeldt Collection,"Private collection: Langfeldt, Bountiful, Utah, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/514,,Q389597,Q389595,,,,,,984,514,Unknown,Person,Individual,0,USA,USA.45_1,USA.45.6_1,,0,,,,,,
,,J. A. Varela Collection,J. A. Varela Collection,J. A. Varela Collection,J. A. Varela Collection,J. A. Varela Collection,"Private collection: Varela, J. A.",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1098,,Q389597,Q389595,,,,,,1224,1098,Unknown,Person,Individual,0,,,,,0,,,,,,
,,J. Agre Collection,J. Agre Collection,J. Agre Collection,J. Agre Collection,J. Agre Collection,Private collection: J. Agre,Q21411,,Q173099,Q11267,,,,Q389597,Q389595,,,,,,1261,0,Unknown,Person,Individual,0,,,,,0,,,,,,
,,J. B. Pabst Collection,J. B. Pabst Collection,J. B. Pabst Collection,J. B. Pabst Collection,J. B. Pabst Collection,"Private collection: Pabst, J. B, unlocated",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/440,,Q389597,Q389595,,,,,,151,440,Extant,Person,Individual,0,,,,,0,,,,,,
,,J. Bagot Arqueología Collection,J. Bagot Arqueología Collection,J. Bagot Arqueología Collection,J. Bagot Arqueología Collection,J. Bagot Arqueología Collection,Private collection: J. Bagot Arqueología - Ancient Art (gallery),Q21411,,Q21907,Q11267,http://www.jbagot.art,https://cdli.earth/collections/−190,,Q389597,Q389595,,J.BAGOT Arqueología – Ancient Art,spa,,0,1323,-190,Extant,Company,Individual,1,ESP,ESP.6_1,ESP.6.1_1,,0,,249405658,way,,Hochschule für bildende Künste Hamburg,https://database.factgrid.de/entity/Q419147
,,J. Carré Collection,J. Carré Collection,J. Carré Collection,J. Carré Collection,J. Carré Collection,"Private collection: Carré, Brussels, Belgium",Q21411,,,Q11267,,https://cdli.earth/collections/953,,Q389597,Q389595,,,,,,205,953,,,,0,,,,,0,,,,,,
,,J. D. Tucker Collection,J. D. Tucker Collection,J. D. Tucker Collection,J. D. Tucker Collection,J. D. Tucker Collection,"Private collection: J.D. Tucker, Saint Albans, Hertfordshire, United Kingdom",Q21411,,Q173099,Q11267,,,,Q389597,Q389595,,,,,,1283,0,Unknown,Person,Individual,0,GBR,GBR.1_1,GBR.1.41_1,,0,,,,,,
,,J. Kist Collection,J. Kist Collection,J. Kist Collection,J. Kist Collection,J. Kist Collection,"Private collection: Kist, J., Amsterdam, Holland",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/267,,Q389597,Q389595,,,,,,970,267,Unknown,Person,Individual,0,NLD,NLD.9_1,NLD.9.4_1,,0,,,,,,
,,J. M. Platts Collection,J. M. Platts Collection,J. M. Platts Collection,J. M. Platts Collection,J. M. Platts Collection,"Private collection: Platts, J. M.",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/439,,Q389597,Q389595,,,,,,1103,439,Unknown,Person,Individual,0,,,,,0,,,,,,
,,J. Malter Collection,J. Malter Collection,J. Malter Collection,J. Malter Collection,J. Malter Collection,"Private collection: J. Malter, Encino, California, USA",Q21411,,Q173099,Q11267,,,,Q389597,Q389595,,,,,,948,408; 1283,Unknown,Person,Individual,0,USA,USA.5_1,USA.5.19_1,,0,,,,,,
,,J. Mariaud de Serres Collection,J. Mariaud de Serres Collection,J. Mariaud de Serres Collection,J. Mariaud de Serres Collection,J. Mariaud de Serres Collection,"Private collection: de Serres, J. Mariaud, Paris, France",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/350,,Q389597,Q389595,,,,,,193,350,Unknown,Person,Individual,0,FRA,FRA.8_1,,,0,,,,,,
,,J. R. Knox Collection,J. R. Knox Collection,J. R. Knox Collection,J. R. Knox Collection,J. R. Knox Collection,"Private collection: Knox, London, UK",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/1268,,Q389597,Q389595,,,,,,973,1268,Unknown,Person,Individual,0,GBR,GBR.1_1,GBR.1.36_1,,0,,,,,,
,,J. T. Harris Collection,J. T. Harris Collection,J. T. Harris Collection,J. T. Harris Collection,J. T. Harris Collection,"Private collection: J. T. Harris, Wilmette, IL, USA",Q21411,,Q173099,Q11267,,https://cdli.earth/collections/−190,,Q389597,Q389595,,,,,,1278,-190,Unknown,Person,Individual,0,USA,USA.14_1,USA.14.16_1,,0,,,,,,
