FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en,source_file
Q389986,https://database.factgrid.de/entity/Q389986,Seleucia,,120,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q389987,https://database.factgrid.de/entity/Q389987,Sulaiymah,,174,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390000,https://database.factgrid.de/entity/Q390000,'Anah,,194,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390001,https://database.factgrid.de/entity/Q390001,Assur,,211,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390010,https://database.factgrid.de/entity/Q390010,Arrapha (mod. Kirkuk),,165,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390022,https://database.factgrid.de/entity/Q390022,Nihavand,,28,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390027,https://database.factgrid.de/entity/Q390027,Kabnak (mod. Haft Tepe),,100,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390028,https://database.factgrid.de/entity/Q390028,Hamadan,,117,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390030,https://database.factgrid.de/entity/Q390030,Uruk (mod. Warka),,105,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390032,https://database.factgrid.de/entity/Q390032,Yasuj,,188,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390034,https://database.factgrid.de/entity/Q390034,Ankuwa,,227,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390044,https://database.factgrid.de/entity/Q390044,Šarišša,,190,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390047,https://database.factgrid.de/entity/Q390047,Kizkapanlı,,20,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390059,https://database.factgrid.de/entity/Q390059,Harran (mod. Harran),,202,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390069,https://database.factgrid.de/entity/Q390069,Kurkh,,230,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390073,https://database.factgrid.de/entity/Q390073,Tushhan (mod. Ziyaret Tepe),,244,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390087,https://database.factgrid.de/entity/Q390087,Sur Jar'a,,199,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390092,https://database.factgrid.de/entity/Q390092,Judi Dagh,,224,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q390128,https://database.factgrid.de/entity/Q390128,"Toprakkale, Eastern Anatolia",,218,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099906,https://database.factgrid.de/entity/Q2099906,Alu-šabtu,,239,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099911,https://database.factgrid.de/entity/Q2099911,Ba-milkišu,,17,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099920,https://database.factgrid.de/entity/Q2099920,Bit-ḫulummu,,236,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099926,https://database.factgrid.de/entity/Q2099926,Bit-ṭab-bel,,125,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099933,https://database.factgrid.de/entity/Q2099933,Ecbatana,,147,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099941,https://database.factgrid.de/entity/Q2099941,Girigu,,128,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099949,https://database.factgrid.de/entity/Q2099949,Himeri,,213,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099953,https://database.factgrid.de/entity/Q2099953,Hummanu,,225,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099954,https://database.factgrid.de/entity/Q2099954,Hurruba,,175,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099961,https://database.factgrid.de/entity/Q2099961,Kar-bel-matati,,141,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099962,https://database.factgrid.de/entity/Q2099962,Kar-Nabu,,134,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
Q2099969,https://database.factgrid.de/entity/Q2099969,Lagaba,,16,,,,/Users/aa/Downloads/AncientSettlement_CDLI2.csv
