FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q389798,https://database.factgrid.de/entity/Q389798,Ishan-Dhahak,,138,Point(44.8341 32.7104),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390040,https://database.factgrid.de/entity/Q390040,Samal (mod. Zinčirli),Samʼal | Samal,14,Point(36.6783 37.1035),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389695,https://database.factgrid.de/entity/Q389695,Tepe Gotvand,Tapah Gutwand,140,Point(48.8149 32.2363),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099961,https://database.factgrid.de/entity/Q2099961,Kar-bel-matati,,141,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389958,https://database.factgrid.de/entity/Q389958,Jerwan,,142,Point(43.3934 36.6697),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389940,https://database.factgrid.de/entity/Q389940,Emar (mod. Tell Meskene),Emar,143,Point(38.1126 35.9876),Q8 | Q389596,ancient location and modern archaeological excavation site
Q91761,https://database.factgrid.de/entity/Q91761,Sidon,Ṣaiydā | Sidon,144,Point(35.3981 33.5606) | Point(35.3697 33.5625),Q8 | Q389596,"city in Lebanon, ancient location and modern archaeological excavation site"
Q2100034,https://database.factgrid.de/entity/Q2100034,Uhudu,,145,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389692,https://database.factgrid.de/entity/Q389692,Tepe Sofalin,,146,Point(51.7366 35.3161),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099933,https://database.factgrid.de/entity/Q2099933,Ecbatana,,147,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389775,https://database.factgrid.de/entity/Q389775,Tell al-Diba'i,Zaralulu | Tell Dhiba'i,148,Point(44.4823 33.3229),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389949,https://database.factgrid.de/entity/Q389949,Tell al-Baqarat,Tell al-Diba'i,148,Point(45.7239 32.3361),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389894,https://database.factgrid.de/entity/Q389894,Me-Turran (mod. Tell Haddad),Me-Turran,149,Point(45.0563 34.1928),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390072,https://database.factgrid.de/entity/Q390072,Giricano,Giricano Höyüğü | mod. Giricano,150,Point(40.7499 37.8169),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099968,https://database.factgrid.de/entity/Q2099968,Kumu,,151,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100033,https://database.factgrid.de/entity/Q2100033,Udannu,,152,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389971,https://database.factgrid.de/entity/Q389971,Diqdiqqah,,153,Point(46.1186 30.9745),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389833,https://database.factgrid.de/entity/Q389833,Umma (mod. Tell Jokha),Umma,154,Point(45.8861 31.6669),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389837,https://database.factgrid.de/entity/Q389837,Palmyra,Palmyra,155,Point(38.2694 34.5522),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389768,https://database.factgrid.de/entity/Q389768,Tell Sweyhat,Sweyhat,156,Point(38.2538 36.2734),Q8 | Q389596,ancient location and modern archaeological excavation site
