FG_qid,FG_qid_url,Len,Aen,P694,P48,P2,description_en
Q2100028,https://database.factgrid.de/entity/Q2100028,Tulūl al-Fāj,mod. Tulūl al-Fāj,660,Point(45.0956 32.5741),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100000,https://database.factgrid.de/entity/Q2100000,Tall Āfis,mod. Tall Āfis,661,Point(36.7988 35.9039),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099891,https://database.factgrid.de/entity/Q2099891,Abū Jāmūs,mod. Abū Jāmūs | Īshān Abū Jāmūs,664,Point(44.8225 32.4605),Q8 | Q389596,hill in Iraq; unknown ancient location
Q389697,https://database.factgrid.de/entity/Q389697,Tepe Yahya,Yahya,67,Point(56.8675 28.3309),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099910,https://database.factgrid.de/entity/Q2099910,Arinçkus,Arzaškun | mod. Arinçkus,673,Point(43.0669 38.8107),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2074169,https://database.factgrid.de/entity/Q2074169,Abū Ṭbīrah,mod. Abū Ṭbīrah,678,Point(46.2678 30.9828) | Point(46.67861111111111 30.813055555555557),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100006,https://database.factgrid.de/entity/Q2100006,Tall Bint al-Amīr,mod. Tall Bint al-Amīr,685,Point(44.9042 32.1958),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100005,https://database.factgrid.de/entity/Q2100005,Tall Bāzy,Armanum? | mod. Tall Bāzy,692,Point(38.2762 36.4273),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389935,https://database.factgrid.de/entity/Q389935,Tell Muhammad,,7,Point(44.4681 33.3009),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099994,https://database.factgrid.de/entity/Q2099994,Ṣurmeš,Ṣurmeš,70,,Q389596 | Q8,ancient location currently unknown to modern archaeologists
Q2100030,https://database.factgrid.de/entity/Q2100030,Tulūl Bismāyah,mod. Tulūl Bismāyah,706,Point(44.6094 33.203),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099957,https://database.factgrid.de/entity/Q2099957,Irákleio,mod. Irákleio,718,Point(25.1332 35.3402),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389924,https://database.factgrid.de/entity/Q389924,Tell Uqair,Tall ʻUqair,72,Point(44.6643 32.7817),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100001,https://database.factgrid.de/entity/Q2100001,Tall al-Ḍabʻa,mod. Tall al-Ḍabʻa,722,Point(31.8233 30.7867),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099951,https://database.factgrid.de/entity/Q2099951,Hisartepe,Daskyleion | mod. Hisartepe,724,Point(28.0507 40.1326),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099967,https://database.factgrid.de/entity/Q2099967,Kūm Dafnah,mod. Kūm Dafnah,725,Point(32.1774 30.8579),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389970,https://database.factgrid.de/entity/Q389970,Dibba,,729,Point(56.2639 25.6317),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389843,https://database.factgrid.de/entity/Q389843,Tell Abu Salabikh,Abu Salabikh | mod. Abu Salabikh,73,Point(45.0544 32.2526),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389801,https://database.factgrid.de/entity/Q389801,Ishān Dulaiyhim,Īshān Dulayhim | Tummal,730,Point(45.4108 31.9985),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389748,https://database.factgrid.de/entity/Q389748,Armavir,Armavir (ancient city) | Argištihinili | Davti-Blur,735,Point(44.0332 40.082),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099955,https://database.factgrid.de/entity/Q2099955,Idfū,mod. Idfū,736,Point(32.8728 24.9782),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099937,https://database.factgrid.de/entity/Q2099937,Eskiharran,mod. Eskiharran,738,Point(39.059 36.9336),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389835,https://database.factgrid.de/entity/Q389835,Tepe Sialk,Tapah Sīyalk,74,Point(51.4042 33.9688),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390142,https://database.factgrid.de/entity/Q390142,Erek Daǧ,KURQilbani | Erek Daǧ,742,Point(43.5556 38.4813),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389861,https://database.factgrid.de/entity/Q389861,Tell As-Sib,,196 | 75,Point(45.058 34.1929),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389752,https://database.factgrid.de/entity/Q389752,Gavar,Gavar | DHaldiei URU,752,Point(45.1383 40.3547),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100002,https://database.factgrid.de/entity/Q2100002,Tall al-Gharrān,mod. Tall al-Gharrān,753,Point(44.4083 32.6244),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389662,https://database.factgrid.de/entity/Q389662,Tarsus,Gözlükule | Tarsus,758,Point(34.8956 36.9123),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099982,https://database.factgrid.de/entity/Q2099982,Qaṭibat,mod. Qaṭibat,76,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100007,https://database.factgrid.de/entity/Q2100007,Tall Ḥadwat al-Faras,mod. Tall Ḥadwat al-Faras,766,Point(44.5896 32.1924),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389834,https://database.factgrid.de/entity/Q389834,Tappeh Bormi,Tall Barmi,77,Point(49.589 31.2413),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099945,https://database.factgrid.de/entity/Q2099945,Haikavank,mod. Haikavank,770,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100015,https://database.factgrid.de/entity/Q2100015,Tel Hebron,mod. Tel Hebron,771,Point(35.1023 31.5245),Q389596 | Q8,ancient location and modern archaeological excavation site
Q390086,https://database.factgrid.de/entity/Q390086,Yoncali,,78,Point(42.1875 39.129),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100042,https://database.factgrid.de/entity/Q2100042,Ηeraio Samou,mod. Ηeraio Samou,780,Point(26.886 37.6721),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099956,https://database.factgrid.de/entity/Q2099956,İnandık,mod. İnandık,789,Point(33.5352 40.381),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389938,https://database.factgrid.de/entity/Q389938,Ebla (mod. Tell Mardikh),Ebla,79,Point(36.7983 35.799),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099958,https://database.factgrid.de/entity/Q2099958,Īzah,mod. Īzah,790,Point(49.8696 31.8386),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100014,https://database.factgrid.de/entity/Q2100014,Tel Gamma,mod. Tel Gamma,793,Point(34.445 31.3872),Q389596 | Q8,ancient location and modern archaeological excavation site
Q390008,https://database.factgrid.de/entity/Q390008,Kāmid al-Lūz,Kumidi (mod. Kāmid al-Lūz),798,Point(35.821 33.6235),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100017,https://database.factgrid.de/entity/Q2100017,Tell Abu Nakhlab,mod. Tell Abu Nakhlab,8,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099936,https://database.factgrid.de/entity/Q2099936,Epurasie,,80,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q390038,https://database.factgrid.de/entity/Q390038,Kayalıpınar,Šamuḫa,800,Point(36.5279 39.6211),Q8 | Q389596,ancient location and modern archaeological excavation site
Q390020,https://database.factgrid.de/entity/Q390020,Nimrud,Kalhu | Tawfiqiyah,81 | 229,Point(43.3385 36.1022),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100036,https://database.factgrid.de/entity/Q2100036,Uluşar,mod. Uluşar,825,Point(43.735 38.8877),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100008,https://database.factgrid.de/entity/Q2100008,Tall Kozkhān,mod. Tall Kozkhān,827,Point(44.8404 32.1873),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389825,https://database.factgrid.de/entity/Q389825,Borsippa (mod. Birs Nimrud),Borsippa,83,Point(44.3434 32.3924),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389911,https://database.factgrid.de/entity/Q389911,Tarbisu (mod. Tell Sherif Khan),Tarbisu,84,Point(43.0774 36.4089),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389932,https://database.factgrid.de/entity/Q389932,Tall Kazal,Tell Kazel | Ṣumur,841,Point(35.9862 34.7085),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099971,https://database.factgrid.de/entity/Q2099971,Lchashen,mod. Lchashen,843,Point(44.9418 40.5074),Q389596 | Q8,ancient location and modern archaeological excavation site
Q390014,https://database.factgrid.de/entity/Q390014,Kish (mod. Tell el-Bender),Kish (Sumer) | Kiš,71 | 85 | 184 | 281 | 391 | 833,Point(44.5949 32.5455),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099988,https://database.factgrid.de/entity/Q2099988,Šaḫrinu,,87,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100009,https://database.factgrid.de/entity/Q2100009,Tall Nūyaja,mod. Tall Nūyaja,874,Point(45.0974 32.33),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389832,https://database.factgrid.de/entity/Q389832,Girsu (mod. Tello),Girsu,88,Point(46.1776 31.5591),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100043,https://database.factgrid.de/entity/Q2100043,Новый Кумак,mod. Новый Кумак,880,Point(58.6555 51.2297),Q389596 | Q8,ancient location and modern archaeological excavation site
Q390025,https://database.factgrid.de/entity/Q390025,Nineveh,Nineveh,279 | 86 | 881,Point(43.1621 36.3582),Q8 | Q389596 | Q997797,mod. Nebi Yunus; mod. Kuyunjik
Q389996,https://database.factgrid.de/entity/Q389996,Tuz Hurmati,,89,Point(44.6252 34.884),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100003,https://database.factgrid.de/entity/Q2100003,Tall al-Nabī Mandū,Qadeš | mod. Tall al-Nabī Mandū,899,Point(36.5194 34.557),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099970,https://database.factgrid.de/entity/Q2099970,Lahir,mod. Lahir,9,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389916,https://database.factgrid.de/entity/Q389916,Unqi,Tell Tayinat | Tell Ta'ynat,90,Point(36.3759 36.2482),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099981,https://database.factgrid.de/entity/Q2099981,Qantīr,mod. Qantīr,903,Point(31.8345 30.8017),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099985,https://database.factgrid.de/entity/Q2099985,Qufṭ,mod. Qufṭ,906,Point(32.8158 25.9966),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389831,https://database.factgrid.de/entity/Q389831,Ešnunna (mod. Tell Asmar),Eshnunna | Ešnuna,91,Point(44.7276 33.4837),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099898,https://database.factgrid.de/entity/Q2099898,Al-Rammāḥīyah,mod. Al-Rammāḥīyah,911,Point(44.7132 31.894),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100010,https://database.factgrid.de/entity/Q2100010,Tall S‘aīd,mod. Tall S‘aīd,915,Point(45.0127 32.2319),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389698,https://database.factgrid.de/entity/Q389698,Pārśa (mod. Persepolis),Persepolis | Pārśa,92,Point(52.8925 29.9343),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099992,https://database.factgrid.de/entity/Q2099992,Shapiya,mod. Shapiya,924,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q389956,https://database.factgrid.de/entity/Q389956,Jedide,,93,Point(42.0326 34.3826),Q8 | Q389596,ancient location and modern archaeological excavation site
Q389974,https://database.factgrid.de/entity/Q389974,Ras Ibn Hani,Ibn Hani,94,Point(35.7348 35.587),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100027,https://database.factgrid.de/entity/Q2100027,Tulūl Abū ‘Aẓam,mod. Tulūl Abū ‘Aẓam,945,Point(45.023 32.3104),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100026,https://database.factgrid.de/entity/Q2100026,Tulūl ‘Adāy,mod. Tulūl ‘Adāy,946,Point(45.0488 32.3113),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100029,https://database.factgrid.de/entity/Q2100029,Tulūl al-Khāldiyah,mod. Tulūl al-Khāldiyah,949,Point(44.7009 32.2504),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389901,https://database.factgrid.de/entity/Q389901,Tell Huweish,Ubasē,95,Point(43.2304 35.5931),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2099990,https://database.factgrid.de/entity/Q2099990,Ṣan al-Hagar,mod. Ṣan al-Hagar,950,Point(31.8845 30.9746),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100038,https://database.factgrid.de/entity/Q2100038,Yalındüz,mod. Yalındüz,951,Point(43.7195 38.9476),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389895,https://database.factgrid.de/entity/Q389895,Shaduppum,Šaduppûm | Tell Abu Harmal,96 | 221,Point(44.4666 33.3098),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100013,https://database.factgrid.de/entity/Q2100013,Tel Duweihes,mod. Tel Duweihes,960,,Q389596 | Q8,ancient location and modern archaeological excavation site
Q2100024,https://database.factgrid.de/entity/Q2100024,Tiryntha,mod. Tiryntha,967,Point(22.8003 37.5992),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389738,https://database.factgrid.de/entity/Q389738,Godin Tepe,,97,Point(48.0685 34.5183),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100025,https://database.factgrid.de/entity/Q2100025,Ṭūd,mod. Ṭūd,975,Point(32.5332 25.5832),Q389596 | Q8,ancient location and modern archaeological excavation site
Q2099966,https://database.factgrid.de/entity/Q2099966,Kocapınar,mod. Kocapınar,976,Point(43.2021 39.1002),Q389596 | Q8,ancient location and modern archaeological excavation site
Q389850,https://database.factgrid.de/entity/Q389850,Zabala,Tell Ibzeikh | Tell Ibzaykh | Zabala | Zabalam | Ibzaih,98 | 99,Point(45.8749 31.7436),Q8 | Q389596,ancient location and modern archaeological excavation site
Q2100011,https://database.factgrid.de/entity/Q2100011,Tall Warīsh,mod. Tall Warīsh,996,Point(45.3421 32.1834),Q389596 | Q8,ancient location and modern archaeological excavation site
