,P771,Len,Aen,FG_qid,P694,P48
FG_Qid,Wikidata_qid,transciption_name,cdli_legacy_'Len',ancientplace,id_text2,coord
Q389924,Q1716909,Tall ʻUqair,uncertain (mod. Tell Uqair),https://database.factgrid.de/entity/Q389924,72,Point(44.6643 32.7817)
Q389605,Q1743884,Kition,uncertain (mod. Lacarna),https://database.factgrid.de/entity/Q389605,417,Point(33.6329 34.9201)
Q92367,Q174916,Ṭarṭūs,,https://database.factgrid.de/entity/Q92367,,Point(35.8865 34.8958)
Q92367,Q174916,Ṭarṭūs,,https://database.factgrid.de/entity/Q92367,,Point(35.8833 34.8833)
Q389651,Q1757438,Samaria,Samerina (mod. Samaria),https://database.factgrid.de/entity/Q389651,398,Point(35.1897 32.2763)
Q389723,Q180773,Shūsh,Susa (mod. Shush),https://database.factgrid.de/entity/Q389723,12,Point(48.2569 32.1895)
Q389658,Q181007,Hattusa,Ḫattusa (mod. Boğazkale),https://database.factgrid.de/entity/Q389658,171,Point(34.6164 40.0144)
Q389622,Q1810451,Tahpanhes,,https://database.factgrid.de/entity/Q389622,,Point(32.1774 30.8579)
Q390017,Q188395,Nufar,Nippur (mod. Nuffar),https://database.factgrid.de/entity/Q390017,22,Point(45.23 32.1271)
Q389975,Q191369,Rās Shamrah,Ugarit (mod. Ras Shamra),https://database.factgrid.de/entity/Q389975,131,Point(35.7853 35.6021)
Q389607,Q192268,Abydos,"Abdju (mod. Abydos, Egypt)",https://database.factgrid.de/entity/Q389607,104,Point(31.908 26.1747)
Q390010,Q193268,Arrapha,Arrapha (mod. Kirkuk),https://database.factgrid.de/entity/Q390010,165,Point(44.3957 35.4701)
Q389843,Q195128,Tall Abū Ṣālabīkh,uncertain (mod. Abu Salabikh),https://database.factgrid.de/entity/Q389843,73,Point(45.0544 32.2526)
Q389941,Q1952563,Mumbaqat,Ekalte (mod. Tell Munbaqa),https://database.factgrid.de/entity/Q389941,214,Point(38.1298 36.2182)
Q389859,Q195286,Qatara,Qatara (mod. Tell al Rimah),https://database.factgrid.de/entity/Q389859,242,Point(42.45 36.2569)
Q390059,Q199547,Harran,Harran (mod. Harran),https://database.factgrid.de/entity/Q390059,202,Point(39.0309 36.8634)
Q390001,Q200200,Assur,uncertain (mod. Kalah Shergat) : Assur (mod. Qalat Sherqat),https://database.factgrid.de/entity/Q390001,211,Point(43.2611 35.4557)
Q390001,Q200200,Assur,uncertain (mod. Kalah Shergat) : Assur (mod. Qalat Sherqat),https://database.factgrid.de/entity/Q390001,205,Point(43.2611 35.4557)
Q390004,Q206236,Qā`lah Arbīl,,https://database.factgrid.de/entity/Q390004,,Point(44.0093 36.1913)
Q389880,Q207330,Lagash,Lagash (mod. El-Hiba),https://database.factgrid.de/entity/Q389880,39,Point(46.4108 31.4182)
Q389787,Q210065,Eridu,Eridu (mod. Abu Shahrain),https://database.factgrid.de/entity/Q389787,59,Point(45.9962 30.8169)
Q389615,Q210598,Tanis,,https://database.factgrid.de/entity/Q389615,,Point(31.8845 30.9746)
Q390142,Q21209718,Erek Daǧ,,https://database.factgrid.de/entity/Q390142,,Point(43.5556 38.4813)
Q389898,Q2142541,Guzana,,https://database.factgrid.de/entity/Q389898,,Point(40.0399 36.8268)
Q389885,Q21587404,Tell Budayri,,https://database.factgrid.de/entity/Q389885,,Point(40.8136 36.3875)
Q389954,Q21592013,Kar-Assurnazirpal,,https://database.factgrid.de/entity/Q389954,,Point(40.5553 34.9738)
Q389625,Q217379,Tiryns,,https://database.factgrid.de/entity/Q389625,,Point(22.8003 37.5992)
Q389912,Q2273816,Tall Shimshārah,Susarra (mod. Tell Shemshara),https://database.factgrid.de/entity/Q389912,401,Point(44.9384 36.2016)
Q389998,Q2351767,A'ali,"Dilmun (mod. A'ali, Bahrain)",https://database.factgrid.de/entity/Q389998,376,Point(50.5256 26.1517)
Q390020,Q237614,Nimrud,"Kalhu (mod. Nimrud) : uncertain (mod. Tawfiqiyah, nearby) : uncertain (mod. Tawfiqiyah)",https://database.factgrid.de/entity/Q390020,229,Point(43.3385 36.1022)
Q390020,Q237614,Nimrud,"Kalhu (mod. Nimrud) : uncertain (mod. Tawfiqiyah, nearby) : uncertain (mod. Tawfiqiyah)",https://database.factgrid.de/entity/Q390020,81,Point(43.3385 36.1022)
Q389884,Q2390471,Tell Bazi,,https://database.factgrid.de/entity/Q389884,,Point(38.2762 36.4273)
Q389608,Q239107,Edfu,,https://database.factgrid.de/entity/Q389608,,Point(32.8728 24.9782)
Q86331,Q243846,Al-Ḥilah,uncertain (mod. Hillah),https://database.factgrid.de/entity/Q86331,53,Point(44.4361 32.4844)
Q86331,Q243846,Al-Ḥilah,uncertain (mod. Hillah),https://database.factgrid.de/entity/Q86331,53,Point(44.4333 32.4833)
Q389860,Q244746,Larsa,Larsa (mod. Tell as-Senkereh),https://database.factgrid.de/entity/Q389860,168,Point(45.8549 31.2832)
Q389896,Q244762,Mari,Mari (mod. Tell Hariri),https://database.factgrid.de/entity/Q389896,161,Point(40.8887 34.5504)
Q389969,Q253208,Dur-Sharrukin,Dur-Šarrukin (mod. Khorsabad),https://database.factgrid.de/entity/Q389969,290,Point(43.2347 36.5035)
Q390003,Q25404315,Kilizu,Kilizu (mod. Qasr Shamamuk),https://database.factgrid.de/entity/Q390003,302,Point(43.7514 36.1039)
Q389841,Q2574582,Mashkan-shapir,Maškan-šapir (mod. Tell Abu Duwari),https://database.factgrid.de/entity/Q389841,192,Point(45.2207 32.4055)
Q389922,Q262432,Der,Der (mod. Tell Aqar),https://database.factgrid.de/entity/Q389922,178,Point(45.9316 33.1238)
Q389801,Q26846061,Ishān Dulaiyhim,,https://database.factgrid.de/entity/Q389801,,Point(45.4108 31.9985)
Q389901,Q26851042,Tall Ḥuwaysh,uncertain (mod. Tell Huweish),https://database.factgrid.de/entity/Q389901,95,Point(43.2304 35.5931)
Q389648,Q27124611,Tell Damiya,,https://database.factgrid.de/entity/Q389648,,Point(35.5469 32.1038)
Q390134,Q272699,Çavuştepe,,https://database.factgrid.de/entity/Q390134,,Point(43.4619 38.3533)
Q389952,Q27365,Ṭaymā,Tema (mod. Tayma),https://database.factgrid.de/entity/Q389952,402,Point(38.5499 27.6219)
Q389869,Q2740784,Tell al-Fakhar,,https://database.factgrid.de/entity/Q389869,,Point(43.9799 35.3808)
Q390113,Q281932,Arzashkun,,https://database.factgrid.de/entity/Q390113,,Point(43.0669 38.8107)
Q389957,Q283680,Karkemish,Karkemish (mod. Djerabis),https://database.factgrid.de/entity/Q389957,270,Point(38.0156 36.8294)
Q389616,Q287731,El-Tod,,https://database.factgrid.de/entity/Q389616,,Point(32.5332 25.5832)
Q389640,Q2916736,Timnah,Timnah (mod. Khirbet Tibneh),https://database.factgrid.de/entity/Q389640,404,Point(34.911 31.7847)
Q390167,Q3110595,Gonur Depe,,https://database.factgrid.de/entity/Q390167,,Point(62.0377 38.2129)
Q389627,Q31214587,Tell ‘Ali,,https://database.factgrid.de/entity/Q389627,,Point(43.682 35.3819)
Q389967,Q3127717,Haradum,Haradum (mod. Khirbet ed-Diniye),https://database.factgrid.de/entity/Q389967,276,Point(41.5866 34.4611)
Q390110,Q32083,Ahtamar,,https://database.factgrid.de/entity/Q390110,,Point(43.037 38.3401)
Q389944,Q3217825,Larak,Larak (mod. Tell Wilayah) : Kesh (mod. Wilaya ?),https://database.factgrid.de/entity/Q389944,132,Point(45.6602 32.3127)
Q390037,Q3303460,Maşat Höyük,uncertain (mod. Masat Höyük),https://database.factgrid.de/entity/Q390037,5,Point(35.7624 40.1481)
Q389790,Q3338309,Tell Ishchali,Nerebtum (mod. Iščali),https://database.factgrid.de/entity/Q389790,245,Point(44.5828 33.3029)
Q389932,Q3398568,Tall Kazal,,https://database.factgrid.de/entity/Q389932,,Point(35.9862 34.7085)
Q389903,Q3411130,Puzrish-Dagan,Puzriš-Dagan (mod. Drehem),https://database.factgrid.de/entity/Q389903,160,Point(45.2922 32.0591)
Q389603,Q346445,Adab,Adab (mod. Bismaya),https://database.factgrid.de/entity/Q389603,252,Point(45.6233 31.9509)
Q389895,Q3481186,Tall Ḥarmal,Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal),https://database.factgrid.de/entity/Q389895,221,Point(44.4666 33.3098)
Q389895,Q3481186,Tall Ḥarmal,Šaduppum (mod. Tell Harmal) : uncertain (mod. Tell Abu Harmal),https://database.factgrid.de/entity/Q389895,96,Point(44.4666 33.3098)
Q389804,Q3482023,Tall Billah,Shibaniba (mod. Tell Billa) : Šibaniba (mod. Tell Billa),https://database.factgrid.de/entity/Q389804,176,Point(43.3481 36.4335)
Q389804,Q3482023,Tall Billah,Shibaniba (mod. Tell Billa) : Šibaniba (mod. Tell Billa),https://database.factgrid.de/entity/Q389804,526,Point(43.3481 36.4335)
Q389612,Q3517370,Tell El-Dab'a,,https://database.factgrid.de/entity/Q389612,,Point(31.8233 30.7867)
Q390033,Q3620,Ortaköy,uncertain (mod. Ortaköy),https://database.factgrid.de/entity/Q390033,283,Point(35.2375 40.2541)
Q389831,Q375685,Eshnunna,Ešnunna (mod. Tell Asmar),https://database.factgrid.de/entity/Q389831,91,Point(44.7276 33.4837)
Q389911,Q3818869,Tall Sharīf Khān,Tarbisu (mod. Tell Sherif Khan),https://database.factgrid.de/entity/Q389911,84,Point(43.0774 36.4089)
Q389889,Q3822951,Tell Barri,Kahat (mod. Tell Barri),https://database.factgrid.de/entity/Q389889,300,Point(41.127 36.7386)
Q390011,Q3849877,Kalīshīn,,https://database.factgrid.de/entity/Q390011,,Point(44.8994 36.9171)
Q389927,Q392725,Tall Fārā,Šuruppak (mod. Fara),https://database.factgrid.de/entity/Q389927,54,Point(45.5113 31.7772)
Q389752,Q39565,Gavar,,https://database.factgrid.de/entity/Q389752,,Point(45.1383 40.3547)
Q389609,Q4115642,Al-Kharjah,uncertain (mod. El-Khargeh),https://database.factgrid.de/entity/Q389609,409,Point(30.5552 25.4764)
Q389871,Q4115974,Karamlesh,,https://database.factgrid.de/entity/Q389871,,Point(43.4095 36.3056)
