Working,project,oracc_link,projectname,Period,count,num,ipynb1,ipynb2,2022_json,note,words_df,df_cat,Translation,FG_upload
TRUE,BabCity: Corpus of Babylonian Texts Concerning the Urban Landscape,,babcity,LB,200,29.00,https://colab.research.google.com/drive/1J1epvc2xlOOup2_0YR99r54s1ZH4Z5SV?usp=share_link,,https://drive.google.com/file/d/1vHAGdFfaNHIjj7ZTZMZQQb6NV-c2siQQ/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,blms: Bilinguals in Late Mesopotamian Scholarship,,blms,LB,1804,30.00,,,https://drive.google.com/file/d/1vWS7XipL_aXYOIVFWXrdAcLnQjxLgIw_/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,"HBTIN: Hellenistic Babylonia: Texts, Iconography, Names",,hbtin,LB,572,76.00,,,https://drive.google.com/file/d/1xX7xO1daB5ugMWQakoh8-NT9APCn97y9/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,aemw/amarna: The Amarna Letters,,aemw/amarna,MA,218,6.00,,,https://drive.google.com/file/d/1u6r6OWKo2dJ3BUA-rx8TGG1rT-skJ8dF/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,aemw/idrimi: Statue of Idrimi,,aemw/alalakh/idrimi,MA,1,7.00,,,https://drive.google.com/file/d/1tsUejmIl9cRmWnzP9zDm1YXVi1Ob4NxW/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,TCMA: Text Corpus of Middle Assyrian,,tcma,MA,1871,128.00,https://colab.research.google.com/drive/1cW10DpL3Wnnatl56toD8s974-DLPqTAM?usp=share_link,,https://drive.google.com/file/d/10e3-REnMd-Gtd44akVGTDB77MXGCOM-2/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Glass: Corpus of Glass Technological Texts,,glass,MA - NA,20,75.00,,,https://drive.google.com/file/d/1xJGEkfjn2h4zUN6yMeLpfqJaifNKt3he/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,CKST: Corpus of Kassite Sumerian Texts,,ckst,MB,339,41.00,https://colab.research.google.com/drive/103q9Wwq-METLtEg3DZl1Kj2ovgADqA4J?usp=sharing,,https://drive.google.com/file/d/1w5_Q_ZLD62KsH6Jyrk7Psxd5Gd6fQl-o/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Suhu: The Inscriptions of Suhu online,,suhu,MB,33,127.00,,,https://drive.google.com/file/d/10UkqX6ZckTun1Fs3WXkujXXyqQA3Onne/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,adsd/adart1: adsd/Astronomical Diaries and Related Texts 1,,adsd/adart1,NA,89,1.00,,,https://drive.google.com/file/d/1v_fU3I7wYMppiL5_Ds1Ky6MOH_oMGnkf/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,adsd/adart2: adsd/Astronomical Diaries and Related Texts 2,,adsd/adart2,NA,162,2.00,,,https://drive.google.com/file/d/1gYDi1Y85I3_DE5pyMZmt-aoiTCeEYnx6/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,adsd/adart3: adsd/Astronomical Diaries and Related Texts 3,,adsd/adart3,NA,156,3.00,,,https://drive.google.com/file/d/1-6Yw99ScQf6R8ZsX8d9C8rxkRKYxMH6g/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,adsd/adart5: adsd/Astronomical Diaries and Related Texts 5,,adsd/adart5,NA,105,4.00,,,https://drive.google.com/file/d/1UKkEWbcn9xfIJXP8O4ZUDZOSgDogj0WY/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,adsd/adart6: adsd/Astronomical Diaries and Related Texts 6,,adsd/adart6,NA,180,5.00,,,https://drive.google.com/file/d/1-PoMgkeTId-x_KYmt-0XpGSoKnGhK9u3/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Assur: Neo-Assyrian Archival Texts from Assur,,atae/assur,NA,820,13.00,,,https://drive.google.com/file/d/1uao4cz0OqU79gU147jGcK-ToQmEFXUXF/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Burmarina: Neo-Assyrian Archival Texts from Burmarina,,atae/burmarina,NA,44,14.00,,,https://drive.google.com/file/d/1uQLSHBLx-mP_BuBbMAiYsXlYLFrrg_aY/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Dur-Katlimmu: Neo-Assyrian Archival Texts from Dur-Katlimmu,,atae/durkatlimmu,NA,408,15.00,https://colab.research.google.com/drive/1apIkPN1LPzWNTWUyuUvqN1oEffpX-Hrd?usp=share_link,,https://drive.google.com/file/d/1uj_QxQzTFlZKbb6NdK3k6aeVaBO7Ry-k/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,Dur-Šarrukin: Neo-Assyrian Archival Texts from Dur-Šarrukin,,atae/durszarrukin,NA,8,16.00,,,https://drive.google.com/file/d/1udhgJJc5-e_KtRhZHVRdoBuP9HfJV0Dj/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Guzana: Neo-Assyrian Archival Texts from Guzana,,atae/guzana,NA,212,17.00,,,https://drive.google.com/file/d/1ubWRtT9-sZA-USJCvcOOMY1G_wpZKbzb/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Huzirina: Neo-Assyrian Archival Texts from Huzirina,,atae/huzirina,NA,19,18.00,,,https://drive.google.com/file/d/1uvHerGpeIqVLY_-QHzlnJ1HRUAexPVnE/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Imgur-Enlil: Neo-Assyrian Archival Texts from Imgur-Enlil,,atae/imgurenlil,NA,30,19.00,,,https://drive.google.com/file/d/1uthc-gAIjzwBnjtXQJA75RZC_i8jrOMB/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Kalhu: Neo-Assyrian Archival Texts from Kalhu,,atae/kalhu,NA,55,20.00,,,https://drive.google.com/file/d/1v6uNFzk3Lm49wJc_GOKADLSBHRQS7QCk/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Kunalia: Neo-Assyrian Archival Texts from Kunalia/Kunulua/Kullania,,atae/kunalia,NA,1,21.00,,,https://drive.google.com/file/d/1uzMViO3ttC5-a8IvrRTkkkRZRPwT8PE7/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Ma'allanate: Neo-Assyrian Archival Texts from Ma'allanate,,atae/mallanate,NA,74,22.00,,,https://drive.google.com/file/d/1uzGehxShIhc9CobKj3tkZ6JdO-ZASw64/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Marqasu: Neo-Assyrian Archival Texts from Marqasu,,atae/marqasu,NA,46,23.00,,,https://drive.google.com/file/d/1v82RRehgB7ETD0BXOpu6B7qQvzTWVIwS/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
FALSE,Nineveh: Neo-Assyrian Archival Texts from Nineveh,,atae/nineveh,NA,4726,24.00,,,https://drive.google.com/file/d/1v8xdz3tvHwWNVD2o_GRESbyJEhrZv51_/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,NinMed: The Nineveh Medical Encyclopaedia,,asbp/ninmed,NA,408,11.00,https://colab.research.google.com/drive/1DxCspgS4zCabpFnDHfa4TbFUo_R65i9Z?usp=sharing,,https://drive.google.com/file/d/1uLaXAFHVVSo0mF3sV5fvcA9EwxQW1qZC/view?usp=share_link,The corpusjson doesn't have the lemmatization fields we need. Contact Steve / project admin to see if they can include it for the texts that are lemmatized,FALSE,FALSE,FALSE,FALSE
TRUE,RINAP 1: Tiglath-pileser III and Shalmaneser V,http://oracc.museum.upenn.edu/rinap/rinap1,rinap/rinap1,NA,96,97.00,,,https://drive.google.com/file/d/1zSBaTH6Tqc1FhOwaOSC8Bh33cKdaGTFK/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
TRUE,RINAP 2: Sargon II,http://oracc.museum.upenn.edu/rinap/rinap2,rinap/rinap2,NA,151,98.00,,,https://drive.google.com/file/d/1zUrmzg2wXfxTRYT6j_4TAxZH0lwif_28/view?usp=share_link,,FALSE,FALSE,FALSE,FALSE
