audit_status,cdli_id,factgrid_qid,live_cdli_id,live_label_en,live_description_en,label,artifact_type,period_id,period,period_time_range,statement_status,statement_value,statement_value_label,live_period_property,live_period_qid,live_period_label,provenience,primary_collection
no_expected_no_live,558485,Q2166868,P558485,Cuneiform Tablet BM 046150,"CDLI artifact: tablet; from Babylon (mod. Bābil); held by British Museum, London, UK; CDLI P558485",BM 046150,tablet,,,,,,,,,,Babylon (mod. Bābil),"British Museum, London, UK"
no_expected_no_live,558503,Q2162448,P558503,Cuneiform Tablet BM 046190,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558503",BM 046190,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558554,Q2165184,P558554,Cuneiform Tablet BM 047118,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558554",BM 047118,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558578,Q2023756,P558578,Cuneiform Tablet BM 047739,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558578",BM 047739,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558581,Q2169353,P558581,Cuneiform Tablet BM 047843,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558581",BM 047843,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558597,Q2147458,P558597,Cuneiform Tablet BM 047917,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558597",BM 047917,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558606,Q2166227,P558606,Cuneiform Tablet BM 048075,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558606",BM 048075,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558647,Q2165493,P558647,Cuneiform Tablet BM 048235,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558647",BM 048235,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558651,Q2168492,P558651,Cuneiform Tablet BM 048257,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558651",BM 048257,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558692,Q2163670,P558692,Cuneiform Tablet BM 048745,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558692",BM 048745,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558702,Q2149974,P558702,Cuneiform Tablet BM 048870,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558702",BM 048870,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558714,Q2168114,P558714,Cuneiform Tablet BM 048970,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558714",BM 048970,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558738,Q2163569,P558738,Cuneiform Tablet BM 054736 + BM 054744,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558738",BM 054736 + BM 054744,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558743,Q2165397,P558743,Cuneiform Tablet BM 055109,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558743",BM 055109,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558755,Q2170401,P558755,Cuneiform Tablet BM 055538,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558755",BM 055538,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558807,Q2164690,P558807,Cuneiform Tablet BM 077616 + BM 077682 + BM 077727,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558807",BM 077616 + BM 077682 + BM 077727,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558850,Q2162872,P558850,Cuneiform Tablet BM 099702,"CDLI artifact: tablet; held by British Museum, London, UK; CDLI P558850",BM 099702,tablet,,,,,,,,,,,"British Museum, London, UK"
no_expected_no_live,558978,Q2169775,P558978,Cuneiform Tablet BM 026019,"CDLI artifact: tablet; from Borsippa (mod. Birs Nimrud); held by British Museum, London, UK; CDLI P558978",BM 026019,tablet,,,,,,,,,,Borsippa (mod. Birs Nimrud),"British Museum, London, UK"
no_expected_no_live,559781,Q2167517,P559781,Cuneiform Tablet BM 025634,"CDLI artifact: tablet; from Borsippa (mod. Birs Nimrud); held by British Museum, London, UK; CDLI P559781",BM 025634,tablet,,,,,,,,,,Borsippa (mod. Birs Nimrud),"British Museum, London, UK"
