repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note
ready,533124,Q2167182,Cuneiform Tablet Fort. 1876-102,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,533165,Q2169413,Cuneiform Tablet PF-NN 0711,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,533173,Q2146704,Cuneiform Tablet PFa 02,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,537409,Q2164762,"Cuneiform Tablet OIP 65, 3",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,537425,Q2047620,"Cuneiform Tablet OIP 65, 12b",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,537433,Q2168903,"Cuneiform Tablet OIP 65, 20",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,537472,Q2166554,"Cuneiform Tablet OIP 65, 48",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,537537,Q2167338,Cuneiform Tablet JNES 24 167-92 1963-14,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,539315,Q2166237,Cuneiform Artifact CDLI Seals 018493 (physical),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,539381,Q2163688,Cuneiform Artifact CDLI Seals 018826 (physical),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,543637,Q2169518,Cuneiform Tablet LB 2036 (unpublished),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,543676,Q2167217,Cuneiform Tablet LB 1777 (unpublished),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,543908,Q2164587,Cuneiform Tablet LB 1749 (unpublished),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550518,Q2047212,"Cuneiform Tablet AnOr 08, 043",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550534,Q2164988,"Cuneiform Tablet AnOr 08, 059",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550627,Q2168689,"Cuneiform Tablet OLA 233, no. 067",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550631,Q2168302,"Cuneiform Tablet OLA 233, no. 071",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550666,Q2166329,"Cuneiform Tablet OLA 233, no. 106",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550689,Q2165312,"Cuneiform Tablet OLA 233, no. 130",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550723,Q2165501,"Cuneiform Tablet OLA 233, no. 165",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550735,Q2170286,"Cuneiform Tablet OLA 233, no. 178",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550758,Q2163763,Cuneiform Tablet Nbk. 010,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,550762,Q2153657,Cuneiform Tablet Nbk. 015,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551260,Q2164438,"Cuneiform Tablet TMH 02-3, 099",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551309,Q2047895,"Cuneiform Tablet TMH 02-3, 148",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551325,Q2164664,"Cuneiform Tablet TMH 02-3, 164",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551372,Q2162827,"Cuneiform Tablet TMH 02-3, 211",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551427,Q2165904,"Cuneiform Tablet TMH 02-3, 266",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551775,Q2164874,"Cuneiform Tablet CM 20, no. 027",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551827,Q2170271,Cuneiform Tablet Dar. 216,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551831,Q2165536,Cuneiform Tablet Dar. 365,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551866,Q2167949,Cuneiform Tablet Dar. 83,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551870,Q2153232,Cuneiform Tablet Dar. 36,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551889,Q2168428,Cuneiform Tablet Dar. 146,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551923,Q2168322,Cuneiform Tablet Dar. 422,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551935,Q2168562,Cuneiform Tablet Dar. 67,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,551974,Q2166350,Cuneiform Tablet Dar. 96,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,552026,Q2169563,"Cuneiform Tablet CM 20, no. 221",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,552030,Q2143065,"Cuneiform Tablet CM 20, no. 026",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,552067,Q2167319,"Cuneiform Tablet CM 20, no. 227",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,552460,Q2146233,Cuneiform Tablet Cyr. 217,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,552476,Q2169439,Cuneiform Tablet Cyr. 149,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
ready,552499,Q2169337,Cuneiform Tablet Cyr. 196,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.
