audit_status,cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,expected_period_qid,expected_period_label,live_period_property,live_period_qid,live_period_label,live_cdli_id
no_expected_no_live,393037,Q2167048,,"Cuneiform Tablet KTT p. 031 Bi.29/49:149,02","CDLI artifact: tablet; from Tuttul (mod. Tell Bi'a); held by National Museum of Syria, Raqqa, Syria; CDLI P393037",,,,,,P393037
no_expected_no_live,404748,Q2166687,,Cuneiform Tablet DUROM 1952.5,"CDLI artifact: tablet; held by Oriental Museum, University of Durham, Durham, UK; CDLI P404748",,,,,,P404748
no_expected_no_live,404932,Q2168914,,"Cuneiform Tablet Iraq 60, 205","CDLI artifact: tablet; from Sippar-Yahrurum (mod. Tell Abu Habbah); held by National Museum of Iraq, Baghdad, Iraq; CDLI P404932",,,,,,P404932
no_expected_no_live,405509,Q2163681,,Cuneiform Tablet WML 1963.188.4,"CDLI artifact: tablet; held by World Museum Liverpool, Liverpool, UK; CDLI P405509",,,,,,P405509
no_expected_no_live,405548,Q2166167,,Cuneiform Tablet WML 51.63.091 (1985.354.4 ?),"CDLI artifact: tablet; held by World Museum Liverpool, Liverpool, UK; CDLI P405548",,,,,,P405548
no_expected_no_live,408053,Q2166500,,Cuneiform Artifact SM 1949.03.002,"CDLI artifact: amulet; held by Harvard Museum of the Ancient Near East, Harvard University, Cambridge, Massachusetts, USA; CDLI P408053",,,,,,P408053
no_expected_no_live,409480,Q2166888,,Cuneiform Tablet CUNES 47-00-004,"CDLI artifact: tablet; from uncertain (mod. uncertain); held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409480",,,,,,P409480
no_expected_no_live,409496,Q2168383,,Cuneiform Tablet CUNES 48-00-030,"CDLI artifact: tablet; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409496",,,,,,P409496
no_expected_no_live,409584,Q2165298,,Cuneiform Tablet CUNES 48-09-209,"CDLI artifact: tablet; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409584",,,,,,P409584
no_expected_no_live,409592,Q2170480,,Cuneiform Tablet CUNES 48-09-217,"CDLI artifact: tablet; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409592",,,,,,P409592
no_expected_no_live,409603,Q2169107,,Cuneiform Tablet CUNES 48-09-228,"CDLI artifact: tablet; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409603",,,,,,P409603
no_expected_no_live,409615,Q2047159,,Cuneiform Artifact CUNES 48-09-240,"CDLI artifact: tag; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409615",,,,,,P409615
no_expected_no_live,409639,Q2165023,,Cuneiform Artifact CUNES 48-09-264,"CDLI artifact: tag; held by Department of Near Eastern Studies, Cornell University, Ithaca, New York, USA; CDLI P409639",,,,,,P409639
