repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note
ready,416325,P416325,Q2162726,CULC 441,Cuneiform Tablet CULC 441,,P853,Q512146,Lagash II Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,417164,P417164,Q2165179,ROM 910x209.389,Cuneiform Tablet ROM 910x209.389,,P853,Q512146,Lagash II Period,Middle Babylonian Period,Q512154,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,419879,P419879,Q2166392,K 21617,Cuneiform Tablet K 21617,,P853,Q512146,Lagash II Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,420647,P420647,Q2167737,SMUI 1913.14.0265,Cuneiform Tablet SMUI 1913.14.0265,,P853,Q512155,Middle Assyrian Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,421056,P421056,Q2162447,SMUI 1913.14.0979,Cuneiform Tablet SMUI 1913.14.0979,,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,423968,P423968,Q2168080,TEBA 06,Cuneiform Tablet TEBA 06,,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,424604,P424604,Q2162068,"RINAP 5/1 Ashurbanipal 011, ex. 102","Cuneiform Artifact RINAP 5/1 Ashurbanipal 011, ex. 102",,P853,Q512148,Ur III Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,425015,P425015,Q2167081,"Rm 2, 248","Cuneiform Tablet Rm 2, 248",,P853,Q512146,Lagash II Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,425392,P425392,Q2167146,"RIMB 2.02.08.05, ex. 002","Cuneiform Tablet RIMB 2.02.08.05, ex. 002",,P853,Q512157,Early Neo-Babylonian Period,Early Neo-Babylonian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,425916,P425916,Q2162361,Sm 1441,Cuneiform Tablet Sm 1441,,P853,Q512146,Lagash II Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,426269,P426269,Q2164825,"RINAP 5/1 Ashurbanipal 003, ex. 025 ?","Cuneiform Artifact RINAP 5/1 Ashurbanipal 003, ex. 025 ?",,P853,Q512148,Ur III Period,Neo-Assyrian Period,Q512158,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,427881,P427881,Q2162784,"RIMA 1.0.076.039, ex. 01","Cuneiform Artifact RIMA 1.0.076.039, ex. 01",,P853,Q512148,Ur III Period,Middle Assyrian Period,Q512155,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,433968,P433968,Q2163797,HKM 075,Cuneiform Tablet HKM 075,,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,434254,P434254,Q2168346,"IBoT 03, 007","Cuneiform Tablet IBoT 03, 007",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,434604,P434604,Q2165805,"IBoT 04, 262","Cuneiform Tablet IBoT 04, 262",,P853,Q512150,Early Old Babylonian Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,435445,P435445,Q2163445,"KBo 13, 038","Cuneiform Tablet KBo 13, 038",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,437182,P437182,Q2164039,"KBo 26, 125","Cuneiform Tablet KBo 26, 125",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,437478,P437478,Q2163055,"KBo 28, 015","Cuneiform Tablet KBo 28, 015",,P853,Q512146,Lagash II Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,438277,P438277,Q2164315,"KBo 32, 090a + (?) KBo 32, 090b","Cuneiform Tablet KBo 32, 090a + (?) KBo 32, 090b",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,438627,P438627,Q2162196,"KBo 34, 059","Cuneiform Tablet KBo 34, 059",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,439036,P439036,Q2167640,"KBo 36, 010","Cuneiform Tablet KBo 36, 010",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,439935,P439935,Q2162180,"KBo 40, 170 + (?) KBo 38, 118","Cuneiform Tablet KBo 40, 170 + (?) KBo 38, 118",,P853,Q512150,Early Old Babylonian Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,440545,P440545,Q2162850,"KUB 15, 005 + KUB 48, 122 + KBo 43, 066","Cuneiform Tablet KUB 15, 005 + KUB 48, 122 + KBo 43, 066",,P853,Q512158,Neo-Assyrian Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,440816,P440816,Q2165247,"KBo 44, 033","Cuneiform Tablet KBo 44, 033",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,441354,P441354,Q2168058,"KBo 46, 044","Cuneiform Tablet KBo 46, 044",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,441704,P441704,Q2165150,"KBo 47, 070","Cuneiform Tablet KBo 47, 070",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,442082,P442082,Q2164452,"KBo 48, 140","Cuneiform Tablet KBo 48, 140",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,443369,P443369,Q2167934,"KBo 54, 261","Cuneiform Tablet KBo 54, 261",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,443739,P443739,Q2164983,"KUB 02, 001","Cuneiform Tablet KUB 02, 001",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,444506,P444506,Q2167387,"KUB 19, 023","Cuneiform Tablet KUB 19, 023",,P853,Q512148,Ur III Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,444855,P444855,Q2164873,"KUB 26, 003","Cuneiform Tablet KUB 26, 003",,P853,Q512146,Lagash II Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
ready,445747,P445747,Q2164314,"KUB 36, 097","Cuneiform Tablet KUB 36, 097",,P853,Q512158,Neo-Assyrian Period,Middle Hittite Period,Q512153,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.
