repair_status,cdli_id,factgrid_qid,artifact_label,live_period_property,live_period_qid,live_period_label,correct_period_qid,expected_period_label,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,537472,Q2166554,"Cuneiform Tablet OIP 65, 48",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2166554$26AEDA10-973C-437F-AE0B-3828FEB54216,Q2166554$A24B3F6A-5AEB-4941-822D-C34FEC2D6B45,written,
ready,537537,Q2167338,Cuneiform Tablet JNES 24 167-92 1963-14,P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167338$5858BB1E-982E-4A07-AD60-E1CDEC10F38E,Q2167338$98E49CB8-4F31-4834-A017-33F67C156D17,written,
ready,539315,Q2166237,Cuneiform Artifact CDLI Seals 018493 (physical),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2166237$0EB29AE9-F0C0-4A03-9724-D16CFC0ED6CF,Q2166237$300C6EDC-FF3B-47FC-B87B-899D354BC263,written,
ready,539381,Q2163688,Cuneiform Artifact CDLI Seals 018826 (physical),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2163688$7CAFCC98-E811-45E9-B608-D515CF06B30D,Q2163688$0E66B8E5-CFC9-4100-A044-C380451C65FC,written,
ready,543637,Q2169518,Cuneiform Tablet LB 2036 (unpublished),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2169518$0B2784DE-8BC8-4A15-8E2E-19A09511D459,Q2169518$C36DBE82-F0D6-433F-BF87-124C102EA8B9,written,
ready,543676,Q2167217,Cuneiform Tablet LB 1777 (unpublished),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2167217$FFDE7C28-B86B-4F62-B4F9-A56CF34FE241,Q2167217$C9078F8B-975D-4D60-A3E1-15B49D809E03,written,
ready,543908,Q2164587,Cuneiform Tablet LB 1749 (unpublished),P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164587$AF462B71-262D-4AE0-80AF-319509F3B14B,Q2164587$0458433D-1F34-4BD4-ADF2-F2EC0F418A59,written,
ready,550518,Q2047212,"Cuneiform Tablet AnOr 08, 043",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2047212$C81A99A0-B7A6-474E-9C87-4CC40E31A695,Q2047212$2FA2AEFB-DD46-44EA-80A0-8633FAB92F49,written,
ready,550534,Q2164988,"Cuneiform Tablet AnOr 08, 059",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2164988$82DE6F2F-C3BC-4BE8-ADFD-B580D47A48F3,Q2164988$30E8A9E5-29F1-4BA3-9FDF-1ABC5C43A703,written,
ready,550627,Q2168689,"Cuneiform Tablet OLA 233, no. 067",P853,Q512164,Hellenistic Period,Q512163,Achaemenid Period,Replace live period claim with verified FactGrid QID for expected CDLI period label.,Q2168689$17C02213-139B-4AB1-82A3-8C72416EDD11,Q2168689$E5901474-0879-4DC9-B79F-235B486D832B,written,
