write_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,period_property,period_qid,expected_period_label,write_note
ready,542620,P542620,Q2163177,CDLI Seals 021766 (physical),Cuneiform Artifact CDLI Seals 021766 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542620,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,542708,P542708,Q2170072,CDLI Seals 021854 (physical),Cuneiform Artifact CDLI Seals 021854 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by National Museum of Iraq, Baghdad, Iraq; CDLI P542708",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,542749,P542749,Q2167715,CDLI Seals 021895 (physical),Cuneiform Artifact CDLI Seals 021895 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P542749",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,542765,P542765,Q2163976,CDLI Seals 021911 (physical),Cuneiform Artifact CDLI Seals 021911 (physical),"CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P542765",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,542925,P542925,Q2169493,CDLI Seals 022071 (physical),Cuneiform Artifact CDLI Seals 022071 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542925,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,542948,P542948,Q2162134,CDLI Seals 022094 (physical),Cuneiform Artifact CDLI Seals 022094 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542948,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,542964,P542964,Q2167246,CDLI Seals 022110 (physical),Cuneiform Artifact CDLI Seals 022110 (physical),CDLI artifact: Cylinder seal; from Ešnunna (mod. Tell Asmar); Old Akkadian; CDLI P542964,P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,543271,P543271,Q2148019,TA 1932 0740,Cuneiform Artifact TA 1932 0740,"CDLI artifact: sealing; from Ešnunna (mod. Tell Asmar); ED IIIb; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P543271",P853,Q512142,ED IIIb,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,543621,P543621,Q2144099,LB 0930/8 (unpublished),Cuneiform Artifact LB 0930/8 (unpublished),"CDLI artifact: cone; Old Akkadian; held by de Liagre Böhl Collection, Netherlands Institute for the Near East, Leiden, The Netherlands; CDLI P543621",P853,Q512144,Old Akkadian Period,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,544520,P544520,Q2162454,CDLI Seals 022209 (physical),Cuneiform Artifact CDLI Seals 022209 (physical),"CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED IIIa; held by Institute for the Study of Ancient Cultures West Asia & North Africa Museum, Chicago, Illinois, USA; CDLI P544520",P853,Q512140,ED IIIa,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,544577,P544577,Q2165201,CDLI Seals 022266 (physical),Cuneiform Artifact CDLI Seals 022266 (physical),CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED I-II; CDLI P544577,P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
ready,544598,P544598,Q2164079,CDLI Seals 022287 (physical),Cuneiform Artifact CDLI Seals 022287 (physical),"CDLI artifact: Cylinder seal; from Tutub (mod. Khafaje); ED I-II; held by Penn Museum, Philadelphia, Pennsylvania, USA; CDLI P544598",P853,Q512137,ED I-II,Add missing period claim expected from the current live FactGrid P692 CDLI ID.
