repair_status,cdli_id,live_cdli_id,factgrid_qid,artifact_label,live_label_en,live_description_en,live_period_property,live_period_qid,live_period_label,expected_period_label,correct_period_qid,repair_note,removed_claim_ids,new_claim_id,write_status,write_error
ready,366535,P366535,Q2169005,"CT 56, 220","Cuneiform Tablet CT 56, 220",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2169005$120D7086-86EB-4B86-BC38-4FC6EE8AF71E,Q2169005$206A300F-EA04-4011-ABF8-D082756E9AAE,written,
ready,366558,P366558,Q2162623,"CT 56, 243","Cuneiform Tablet CT 56, 243",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162623$00183742-86B4-4629-8570-DF6F88C53BCE,Q2162623$483093FB-BA63-493D-B0A3-6BDDC7D62E5E,written,
ready,366574,P366574,Q2166740,"CT 56, 259","Cuneiform Tablet CT 56, 259",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166740$25234206-58ED-4337-86FD-2112BE42D3D9,Q2166740$90D8A8E1-9C99-4747-B984-3F204569E80C,written,
ready,366763,P366763,Q2163844,"CT 56, 448","Cuneiform Tablet CT 56, 448",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163844$EADBD82C-00CB-43A4-ABC1-2AC18E74F983,Q2163844$43430374-F37F-483C-952D-B17232156621,written,
ready,366827,P366827,Q2166892,"CT 56, 512","Cuneiform Tablet CT 56, 512",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166892$2D74FFEF-32D5-4ADD-8AF6-FCF3CE5B9ECB,Q2166892$4662FBA4-26F0-49F3-8FC5-FC5401CBB039,written,
ready,366889,P366889,Q2169603,"CT 56, 574","Cuneiform Tablet CT 56, 574",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2169603$ED620889-F262-41F2-8B26-36FE43F8E187,Q2169603$D2D42B67-C694-47F2-8948-A77AB93829C1,written,
ready,366923,P366923,Q2169339,"CT 56, 608","Cuneiform Tablet CT 56, 608",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2169339$9DF21BDB-610C-44AB-82CE-9C476EDBD75F,Q2169339$C379627F-2A47-4276-884E-0DCFA1E7F542,written,
ready,366935,P366935,Q2147786,"CT 56, 620","Cuneiform Tablet CT 56, 620",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2147786$0487DAB6-1BBB-41F1-9940-5CFDDE18C8CC,Q2147786$65072F7F-0CDC-4040-BBE2-E03B4112D6CE,written,
ready,368602,P368602,Q2165533,"TCL 32, 116","Cuneiform Tablet TCL 32, 116",,P853,Q512148,Ur III Period,Proto-Elamite Period,Q512135,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2165533$DC039CEF-99BB-439D-A0C3-526E0966D82C,Q2165533$F9CE5E9C-B25A-4946-B7F5-3D5EC60E44F5,written,
ready,369443,P369443,Q2163507,OBTI 013,Cuneiform Tablet OBTI 013,,P853,Q512146,Lagash II Period,Early Old Babylonian Period,Q512150,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163507$31F8C421-6071-45FA-B985-2ACF0F6277F3,Q2163507$9136BCA2-A2A2-43E0-B08E-6C83EC9BF99D,written,
ready,369910,P369910,Q2166223,"MDP 27, 163","Cuneiform Tablet MDP 27, 163",,P853,Q512148,Ur III Period,Old Babylonian Period,Q512152,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166223$AC6D3D67-6548-47A1-9CC8-F6718FA0E715,Q2166223$6D9107FF-6286-4666-944F-7AA42FF9B75D,written,
ready,371423,P371423,Q2166187,"VS 03, 134","Cuneiform Tablet VS 03, 134",,P853,Q512148,Ur III Period,Achaemenid Period,Q512163,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166187$0C5F37A6-5A47-4F9D-A334-376FE8954184,Q2166187$E06FB74B-B582-4653-B6BD-EB6F7D5AF8CD,written,
ready,371931,P371931,Q2166171,"VS 06, 036","Cuneiform Tablet VS 06, 036",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2166171$4054408C-35D4-4E34-A08B-3EAC63DCA4D6,Q2166171$47BAFCDC-B62B-4CD4-8C46-39829727EC62,written,
ready,371966,P371966,Q892473,"VS 06, 071","Cuneiform Tablet VS 06, 071",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q892473$3E601C4C-D129-4887-9DFC-7C7948301B1F,Q892473$6BC3DF09-D0C9-4A73-913A-BB4AEC8CD13D,written,
ready,371970,P371970,Q2163761,"VS 06, 075","Cuneiform Tablet VS 06, 075",,P853,Q512148,Ur III Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163761$44479507-EB06-4031-8FCA-9360D05AD194,Q2163761$0F5FC15F-58FC-4808-80B1-AEA8433F5F8D,written,
ready,371989,P371989,Q2167801,"VS 06, 094","Cuneiform Tablet VS 06, 094",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167801$7E79D367-D69B-4D64-AA2A-E9C51FB6A87F,Q2167801$0FE4541B-02CB-4913-8AC7-EBE70CBF8395,written,
ready,372130,P372130,Q2047314,"VS 06, 235","Cuneiform Tablet VS 06, 235",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2047314$49CB6E2C-8509-4674-8E7F-D8E92B3A44EB,Q2047314$0BD86F73-3FCF-4CE5-8236-86DFC1D46595,written,
ready,3749,P003749,Q2165714,"ATU 7, pl. 065, W 20493,45","Cuneiform Tablet ATU 7, pl. 065, W 20493,45",,P853,Q512146,Lagash II Period,Uruk III Period,Q512134,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2165714$A038F45E-0AF9-4B74-8AD5-7EB1009975CD,Q2165714$948CC42B-8FD9-4CEF-90EC-C008E13F6A47,written,
ready,375460,P375460,Q2163436,BM 106414,Cuneiform Tablet BM 106414,,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2163436$415C8BC8-97E8-4684-8A54-A6B0C1E11628,Q2163436$6FC41CE2-AA3C-4F07-B70F-652AA8395D6E,written,
ready,379910,P379910,Q2162177,BM 093195,Cuneiform Tablet BM 093195,,P853,Q512150,Early Old Babylonian Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162177$0F50B98F-79BA-4999-A152-1D172284A1BF,Q2162177$491971DC-BE9E-4A51-9F49-6826DC19FDBB,written,
ready,380436,P380436,Q2167686,BM 096462,Cuneiform Tablet BM 096462,,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167686$829F6936-D3C4-4F6E-A171-130FE989CF26,Q2167686$F65001E5-29D8-4254-BDC0-F35EF04A1A5A,written,
ready,381227,P381227,Q2162466,BM 085251,Cuneiform Tablet BM 085251,,P853,Q512146,Lagash II Period,Ur III Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162466$57F58AB5-6790-49FB-AAD2-BB8631777192,Q2162466$2A89D3D8-F0A4-41B7-92D8-4339E6D1C003,written,
ready,382671,P382671,Q2144845,CDLI Seals 001403 (physical),Cuneiform Artifact CDLI Seals 001403 (physical),,P853,Q512147,Harappan Period,Harappan Period,Q512148,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2144845$A4E77999-8DFC-47D6-9755-680910884AE2,Q2144845$B455D93E-D864-4D8F-82FA-2C5D4C2D2045,written,
ready,384025,P384025,Q2164649,"OIP 092, 1339","Cuneiform Tablet OIP 092, 1339",,P853,Q512148,Ur III Period,Achaemenid Period,Q512163,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2164649$A45F7CC4-0347-4917-93D2-27DA4CD163F7,Q2164649$20897325-FF19-4240-80F9-C87FCD92629E,written,
ready,385032,P385032,Q2164237,"OECT 10, 019","Cuneiform Tablet OECT 10, 019",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2164237$9F11AF63-B8F9-447B-90CB-6979A3D5533D,Q2164237$D03C84F5-CD52-4642-9CFA-52586F8E9FCB,written,
ready,385049,P385049,Q2167253,"OECT 10, 036","Cuneiform Tablet OECT 10, 036",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2167253$09FB064A-01B6-4DE3-9C21-21F1EC8051CB,Q2167253$BD50772D-2EFF-4C5E-B0AB-EA84E67794F1,written,
ready,385065,P385065,Q2162146,"OECT 10, 052","Cuneiform Tablet OECT 10, 052",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162146$05B4CDFC-295C-4FA2-BB3D-6FE09E165EB1,Q2162146$3367887E-F255-4B89-9CAD-B0BB49558C89,written,
ready,385120,P385120,Q2162346,"OECT 10, 107","Cuneiform Tablet OECT 10, 107",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2162346$15FD3546-B932-497A-A18E-14396C3C834C,Q2162346$93E0D0D6-89EE-4FF4-BABE-7AEBDFF78F43,written,
ready,385376,P385376,Q2170485,"OECT 10, 363","Cuneiform Tablet OECT 10, 363",,P853,Q512162,Persian Period,Neo-Babylonian Period,Q512161,Replace live period claim with the period expected from the current live FactGrid P692 CDLI ID.,Q2170485$E7126768-91C2-44A2-A6D3-5B37ADE5E5B0,Q2170485$7984BB98-D458-47AB-B919-1949F10B3E5C,written,
